000000000040000000000400000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
0028001000400001660004000000 REP       REP County Judge                                        Ann Statham                                                    01 
0028002000400006540004000000 REP       REP County Judge                                        Kimberly R. Jones                                              01 
0029001000400005000004000000 REP       REP District and County Clerk                           Barbara Spitzer                                                01 
0029002000400003190004000000 REP       REP District and County Clerk                           Ruby Weese                                                     01 
0030001000400007690004000000 REP       REP County Treasurer                                    Brenda Overstreet                                              01 
0031001000400007610004000000 REP       REP Justice of the Peace                                Melissa K. Harper                                              01 
0032001000100002190001000000 REPCOM0002REP County Commissioner Pct 2                           Mark Ross                             Precinct No. 2           01 
0033001000100001920001000000 REPCOM0004REP County Commissioner Pct 4                           Rick Elliott                          Precinct No. 4           01 
0034001000400007830004000000 REP       REP County Chair                                        James Driver                                                   01 
0035001000400007900004000000 REP       REP Proposition 1                                       YES                                                            01Y
0035002000400000380004000000 REP       REP Proposition 1                                       NO                                                             01Y
0036001000400005940004000000 REP       REP Proposition 2                                       YES                                                            01Y
0036002000400002100004000000 REP       REP Proposition 2                                       NO                                                             01Y
0037001000400007370004000000 REP       REP Proposition 3                                       YES                                                            01Y
0037002000400000890004000000 REP       REP Proposition 3                                       NO                                                             01Y
0038001000400007490004000000 REP       REP Proposition 4                                       YES                                                            01Y
0038002000400000680004000000 REP       REP Proposition 4                                       NO                                                             01Y
0039001000400007440004000000 REP       REP Proposition 5                                       YES                                                            01Y
0039002000400000710004000000 REP       REP Proposition 5                                       NO                                                             01Y
0040001000400006950004000000 REP       REP Proposition 6                                       YES                                                            01Y
0040002000400001030004000000 REP       REP Proposition 6                                       NO                                                             01Y
0041001000400008090004000000 REP       REP Proposition 7                                       YES                                                            01Y
0041002000400000140004000000 REP       REP Proposition 7                                       NO                                                             01Y
0042001000400007680004000000 REP       REP Proposition 8                                       YES                                                            01Y
0042002000400000490004000000 REP       REP Proposition 8                                       NO                                                             01Y
0043001000400007240004000000 REP       REP Proposition 9                                       YES                                                            01Y
0043002000400000920004000000 REP       REP Proposition 9                                       NO                                                             01Y
0044001000400007720004000000 REP       REP Proposition 10                                      YES                                                            01Y
0044002000400000390004000000 REP       REP Proposition 10                                      NO                                                             01Y
0045001000400000170004000000 DEM       DEM US Representative, District 13                      Kathleen Brown                                                 01 
0046001000400000010004000000 DEM       DEM Governor                                            Joy Diaz                                                       01 
0046002000400000030004000000 DEM       DEM Governor                                            Michael Cooper                                                 01 
0046003000400000010004000000 DEM       DEM Governor                                            Rich Wakeland                                                  01 
0046004000400000160004000000 DEM       DEM Governor                                            Beto O'Rourke                                                  01 
0046005000400000010004000000 DEM       DEM Governor                                            Inocencio (Inno) Barrientez                                    01 
0047001000400000110004000000 DEM       DEM Lieutenant Governor                                 Mike Collier                                                   01 
0047002000400000070004000000 DEM       DEM Lieutenant Governor                                 Michelle Beckley                                               01 
0047003000400000020004000000 DEM       DEM Lieutenant Governor                                 Carla Brailey                                                  01 
0048001000400000030004000000 DEM       DEM Attorney General                                    S. "TBONE" Raynor                                              01 
0048002000400000040004000000 DEM       DEM Attorney General                                    Mike Fields                                                    01 
0048003000400000050004000000 DEM       DEM Attorney General                                    Lee Merritt                                                    01 
0048004000400000040004000000 DEM       DEM Attorney General                                    Joe Jaworski                                                   01 
0048005000400000030004000000 DEM       DEM Attorney General                                    Rochelle Mercedes Garza                                        01 
0049001000400000090004000000 DEM       DEM Comptroller of Public Accounts                      Janet T. Dudding                                               01 
0049002000400000050004000000 DEM       DEM Comptroller of Public Accounts                      Angel Luis Vega                                                01 
0049003000400000080004000000 DEM       DEM Comptroller of Public Accounts                      Tim Mahoney                                                    01 
0050001000400000060004000000 DEM       DEM Comm General Land Office                            Jay Kleberg                                                    01 
0050002000400000060004000000 DEM       DEM Comm General Land Office                            Michael Lange                                                  01 
0050003000400000040004000000 DEM       DEM Comm General Land Office                            Jinny Suh                                                      01 
0050004000400000060004000000 DEM       DEM Comm General Land Office                            Sandragrace Martinez                                           01 
0051001000400000060004000000 DEM       DEM Commissioner of Agriculture                         Ed Ireson                                                      01 
0051002000400000150004000000 DEM       DEM Commissioner of Agriculture                         Susan Hays                                                     01 
0052001000400000190004000000 DEM       DEM Railroad Commissioner                               Luke Warford                                                   01 
0053001000400000200004000000 DEM       DEM Justice, Supreme Court, Pl 3                        Erin A Nowell                                                  01 
0054001000400000210004000000 DEM       DEM Justice, Supreme Court, Pl 5                        Amanda Reichek                                                 01 
0055001000400000200004000000 DEM       DEM Justice, Supreme Court, Pl 9                        Julia Maldonado                                                01 
0056001000400000200004000000 DEM       DEM Judge, Ct of Crim App, Pl 5                         Dana Huffman                                                   01 
0057001000400000180004000000 DEM       DEM Judge, Ct of Crim App, Pl 6                         Robert Johnson                                                 01 
0058001000400000210004000000 DEM       DEM County Chair                                        Grace Holman                                                   01 
