00000000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001300000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
001200800130000492000001500001680000309000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Lieutenant Governor                                 UNDER VOTES                                                    01 
001300100130001899000006000006920001147000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Attorney General                                    George P. Bush                                                 01 
001300200130000949000004600005360000367000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Attorney General                                    Eva Guzman                                                     01 
001300300130003300000010800013570001835000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Attorney General                                    Ken Paxton                                                     01 
001300400130001132000003500005210000576000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Attorney General                                    Louie Gohmert                                                  01 
001300500130000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Attorney General                                    OVER VOTES                                                     01 
001300600130000296000000600000970000193000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Attorney General                                    UNDER VOTES                                                    01 
001400100130001493000003800006490000806000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comptroller of Public Accounts                      Mark V. Goloby                                                 01 
001400200130004847000017200021090002566000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comptroller of Public Accounts                      Glenn Hegar                                                    01 
001400300130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Comptroller of Public Accounts                      OVER VOTES                                                     01 
001400400130001236000004500004460000745000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Comptroller of Public Accounts                      UNDER VOTES                                                    01 
001500100130001094000004200004660000586000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comm General Land Office                            Jon Spiers                                                     01 
001500200130000531000001900002390000273000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comm General Land Office                            Weston Martinez                                                01 
001500300130002155000008400009520001119000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comm General Land Office                            Dawn Buckingham                                                01 
001500400130000202000000300000880000111000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comm General Land Office                            Rufus Lopez                                                    01 
001500500130000110000000200000600000048000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comm General Land Office                            Ben Armenta                                                    01 
001500600130000358000000800001690000181000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comm General Land Office                            Victor Avila                                                   01 
001500700130000493000002300002070000263000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comm General Land Office                            Don W. Minton                                                  01 
001500800130001257000002700005180000712000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Comm General Land Office                            Tim Westley                                                    01 
001500900130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Comm General Land Office                            OVER VOTES                                                     01 
001501000130001376000004700005050000824000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Comm General Land Office                            UNDER VOTES                                                    01 
001600100130004037000013700017240002176000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Commissioner of Agriculture                         Sid Miller                                                     01 
001600200130000686000001900003200000347000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Commissioner of Agriculture                         Carey A. Counsil                                               01 
001600300130001812000005800007820000972000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Commissioner of Agriculture                         James White                                                    01 
001600400130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Commissioner of Agriculture                         OVER VOTES                                                     01 
001600500130001042000004100003780000623000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Commissioner of Agriculture                         UNDER VOTES                                                    01 
001700100130002553000010600011620001285000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Railroad Commissioner                               Wayne Christian                                                01 
001700200130000734000002100003010000412000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Railroad Commissioner                               Dawayne Tipton                                                 01 
001700300130000960000003400004230000503000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Railroad Commissioner                               Sarah Stogner                                                  01 
001700400130000860000001300003350000512000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Railroad Commissioner                               Marvin "Sarge" Summers                                         01 
001700500130001072000003700004540000581000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Railroad Commissioner                               Tom Slocum Jr                                                  01 
001700600130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Railroad Commissioner                               OVER VOTES                                                     01 
001700700130001397000004400005290000824000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Railroad Commissioner                               UNDER VOTES                                                    01 
001800100130005635000019700023880003050000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Justice, Supreme Court, Pl 3                        Debra Lehrmann                                                 01 
001800200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, Supreme Court, Pl 3                        OVER VOTES                                                     01 
001800300130001942000005800008160001068000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, Supreme Court, Pl 3                        UNDER VOTES                                                    01 
001900100130005577000019100023670003019000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Justice, Supreme Court, Pl 5                        Rebeca Huddle                                                  01 
001900200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, Supreme Court, Pl 5                        OVER VOTES                                                     01 
001900300130002000000006400008370001099000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, Supreme Court, Pl 5                        UNDER VOTES                                                    01 
002000100130003043000010100012540001688000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Justice, Supreme Court, Pl 9                        David J. Schenck                                               01 
002000200130002801000009500012720001434000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Justice, Supreme Court, Pl 9                        Evan Young                                                     01 
002000300130000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, Supreme Court, Pl 9                        OVER VOTES                                                     01 
002000400130001732000005900006770000996000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, Supreme Court, Pl 9                        UNDER VOTES                                                    01 
002100100130005477000019200023190002966000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Judge, Ct of Crim App, Pl 2                         Mary Lou Keel                                                  01 
002100200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Judge, Ct of Crim App, Pl 2                         OVER VOTES                                                     01 
002100300130002100000006300008850001152000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Judge, Ct of Crim App, Pl 2                         UNDER VOTES                                                    01 
002200100130003820000013700016290002054000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Judge, Ct of Crim App, Pl 5                         Scott Walker                                                   01 
002200200130002041000005800009160001067000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Judge, Ct of Crim App, Pl 5                         Clint Morgan                                                   01 
002200300130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Judge, Ct of Crim App, Pl 5                         OVER VOTES                                                     01 
002200400130001716000006000006590000997000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Judge, Ct of Crim App, Pl 5                         UNDER VOTES                                                    01 
002300100130005525000019300023440002988000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Judge, Ct of Crim App, Pl 6                         Jesse F. McClure, III                                          01 
002300200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Judge, Ct of Crim App, Pl 6                         OVER VOTES                                                     01 
002300300130002052000006200008600001130000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Judge, Ct of Crim App, Pl 6                         UNDER VOTES                                                    01 
002400100130002810000010300012960001411000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Member, State BoE, Dist 3                           Lana Jean Holland                                              01 
002400200130003196000010100013150001780000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Member, State BoE, Dist 3                           Ken Morrow                                                     01 
002400300130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Member, State BoE, Dist 3                           OVER VOTES                                                     01 
002400400130001570000005100005930000926000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Member, State BoE, Dist 3                           UNDER VOTES                                                    01 
002500100130005501000019100023520002958000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP State Senator, Dist 21                              Julie Dahlberg                                                 01 
002500200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP State Senator, Dist 21                              OVER VOTES                                                     01 
002500300130002076000006400008520001160000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP State Senator, Dist 21                              UNDER VOTES                                                    01 
002600100130003276000009400013360001846000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP State Representative, Dist 31                       Ryan Guillen                                                   01 
002600200130000928000003800004290000461000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP State Representative, Dist 31                       Alena Berlanga                                                 01 
002600300130002800000010500012500001445000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP State Representative, Dist 31                       Mike Monreal                                                   01 
002600400130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP State Representative, Dist 31                       OVER VOTES                                                     01 
002600500130000573000001800001890000366000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP State Representative, Dist 31                       UNDER VOTES                                                    01 
002700100130005459000018900023150002955000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Justice, 4th Ct of App Dist, Pl 6                   Todd McCray                                                    01 
002700200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, 4th Ct of App Dist, Pl 6                   OVER VOTES                                                     01 
002700300130002118000006600008890001163000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, 4th Ct of App Dist, Pl 6                   UNDER VOTES                                                    01 
002800100130005409000018400023060002919000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Justice, 4th Ct of App Dist, Pl 7, Unexp            Lori I. Valenzuela                                             01 
002800200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, 4th Ct of App Dist, Pl 7, Unexp            OVER VOTES                                                     01 
002800300130002168000007100008980001199000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Justice, 4th Ct of App Dist, Pl 7, Unexp            UNDER VOTES                                                    01 
002900100130001149000002500005120000612000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Dist Judge, 81st Judicial Dist                      Sylvia Rodriguez                                               01 
002900200130002863000013500011910001537000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Dist Judge, 81st Judicial Dist                      Jennifer Ebrom Dillingham                                      01 
002900300130002791000007500012090001507000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Dist Judge, 81st Judicial Dist                      Trent Rowell                                                   01 
002900400130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Dist Judge, 81st Judicial Dist                      OVER VOTES                                                     01 
002900500130000774000002000002920000462000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Dist Judge, 81st Judicial Dist                      UNDER VOTES                                                    01 
003000100130005814000019500024750003144000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Dist Judge, 218th Judicial Dist                     Russell Wilson                                                 01 
003000200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Dist Judge, 218th Judicial Dist                     OVER VOTES                                                     01 
003000300130001763000006000007290000974000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Dist Judge, 218th Judicial Dist                     UNDER VOTES                                                    01 
003100100130004727000014900020520002526000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP County Judge                                        Henry "Hank" Whitman, Jr                                       01 
003100200130002121000007700009080001136000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP County Judge                                        Ben Reed                                                       01 
003100300130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP County Judge                                        OVER VOTES                                                     01 
003100400130000729000002900002440000456000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP County Judge                                        UNDER VOTES                                                    01 
003200100130005787000020300024560003128000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP District Clerk                                      Deborah Bryan                                                  01 
003200200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP District Clerk                                      OVER VOTES                                                     01 
003200300130001790000005200007480000990000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP District Clerk                                      UNDER VOTES                                                    01 
003300100130005715000019400024420003079000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP County Clerk                                        Genevieve Martinez                                             01 
003300200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP County Clerk                                        OVER VOTES                                                     01 
003300300130001862000006100007620001039000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP County Clerk                                        UNDER VOTES                                                    01 
003400100130005698000019800024040003096000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP County Treasurer                                    Christina Mutz                                                 01 
003400200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP County Treasurer                                    OVER VOTES                                                     01 
003400300130001879000005700008000001022000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP County Treasurer                                    UNDER VOTES                                                    01 
003500100030000721000001800003700000333000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPCOM002 REP County Commissioner Pct 2                           Russell A. King                       Precinct No. 2           01 
003500200030000812000002700003270000458000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPCOM002 REP County Commissioner Pct 2                           Mark A. Moczygemba                    Precinct No. 2           01 
003500300030000676000002300003340000319000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPCOM002 REP County Commissioner Pct 2                           Heath A. Orth                         Precinct No. 2           01 
003500400030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    COM002 REP County Commissioner Pct 2                           OVER VOTES                            Precinct No. 2           01 
003500500030000106000000500000540000047000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    COM002 REP County Commissioner Pct 2                           UNDER VOTES                           Precinct No. 2           01 
003600100030000854000002900003160000509000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPCOM004 REP County Commissioner Pct 4                           David R. Dunn                         Precinct No. 4           01 
003600200030000995000003300003520000610000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPCOM004 REP County Commissioner Pct 4                           John "Scott" Akin                     Precinct No. 4           01 
003600300030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    COM004 REP County Commissioner Pct 4                           OVER VOTES                            Precinct No. 4           01 
003600400030000131000000800000610000062000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    COM004 REP County Commissioner Pct 4                           UNDER VOTES                           Precinct No. 4           01 
003700100040000418000001000002300000178000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REPJOP001 REP JOP Pct 1                                           Joel Leonardo Arroyo                  Precinct No. 1           01 
003700200040000832000002600003880000418000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REPJOP001 REP JOP Pct 1                                           Jared Shaw                            Precinct No. 1           01 
003700300040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004    JOP001 REP JOP Pct 1                                           OVER VOTES                            Precinct No. 1           01 
003700400040000280000001300001190000148000000000000000000000000000000000000000000000000000000000000000000000000000000004004004    JOP001 REP JOP Pct 1                                           UNDER VOTES                           Precinct No. 1           01 
003800100030000819000002200003470000450000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPJOP002 REP JOP Pct 2                                           Kenneth (Buck) Griffin                Precinct No. 2           01 
003800200030000407000001700002360000154000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPJOP002 REP JOP Pct 2                                           Billy Mitchell                        Precinct No. 2           01 
003800300030000757000002300003500000384000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPJOP002 REP JOP Pct 2                                           Thomas Welfel                         Precinct No. 2           01 
003800400030000097000000000000480000049000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPJOP002 REP JOP Pct 2                                           Terry Rolland                         Precinct No. 2           01 
003800500030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    JOP002 REP JOP Pct 2                                           OVER VOTES                            Precinct No. 2           01 
003800600030000235000001100001040000120000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    JOP002 REP JOP Pct 2                                           UNDER VOTES                           Precinct No. 2           01 
003900100030001331000005200004880000791000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPJOP003 REP JOP Pct 3                                           Connie Terry                          Precinct No. 3           01 
003900200030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    JOP003 REP JOP Pct 3                                           OVER VOTES                            Precinct No. 3           01 
003900300030000421000001100001650000245000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    JOP003 REP JOP Pct 3                                           UNDER VOTES                           Precinct No. 3           01 
004000100030001497000005500005510000891000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 REPJOP004 REP JOP Pct 4                                           Monica Lambeck Gutierrez              Precinct No. 4           01 
004000200030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    JOP004 REP JOP Pct 4                                           OVER VOTES                            Precinct No. 4           01 
004000300030000483000001500001780000290000000000000000000000000000000000000000000000000000000000000000000000000000000003003003    JOP004 REP JOP Pct 4                                           UNDER VOTES                           Precinct No. 4           01 
004100100130005468000018700023300002951000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP County Chair                                        Ruby Manen                                                     01 
004100200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP County Chair                                        OVER VOTES                                                     01 
004100300130002109000006800008740001167000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP County Chair                                        UNDER VOTES                                                    01 
004200100130006793000022200028960003675000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 1                                       YES                                                            01Y
004200200130000393000002100001750000197000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 1                                       NO                                                             01Y
004200300130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 1                                       OVER VOTES                                                     01Y
004200400130000391000001200001330000246000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 1                                       UNDER VOTES                                                    01Y
004300100130005830000016500024930003172000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 2                                       YES                                                            01Y
004300200130001289000006900005480000672000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 2                                       NO                                                             01Y
004300300130000003000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 2                                       OVER VOTES                                                     01Y
004300400130000455000002100001630000271000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 2                                       UNDER VOTES                                                    01Y
004400100130006586000018300027750003628000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 3                                       YES                                                            01Y
004400200130000755000005900003470000349000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 3                                       NO                                                             01Y
004400300130000004000000000000020000002000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 3                                       OVER VOTES                                                     01Y
004400400130000232000001300000800000139000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 3                                       UNDER VOTES                                                    01Y
004500100130006791000021700028990003675000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 4                                       YES                                                            01Y
004500200130000525000002300002160000286000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 4                                       NO                                                             01Y
004500300130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 4                                       OVER VOTES                                                     01Y
004500400130000260000001500000890000156000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 4                                       UNDER VOTES                                                    01Y
004600100130006229000020400026260003399000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 5                                       YES                                                            01Y
004600200130000958000003500004320000491000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 5                                       NO                                                             01Y
004600300130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 5                                       OVER VOTES                                                     01Y
004600400130000389000001600001460000227000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 5                                       UNDER VOTES                                                    01Y
004700100130005962000017600025310003255000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 6                                       YES                                                            01Y
004700200130001173000006000005140000599000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 6                                       NO                                                             01Y
004700300130000002000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 6                                       OVER VOTES                                                     01Y
004700400130000440000001900001580000263000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 6                                       UNDER VOTES                                                    01Y
004800100130007173000023700030340003902000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 7                                       YES                                                            01Y
004800200130000179000000800000860000085000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 7                                       NO                                                             01Y
