id,Political,Election,Election,Total,Total Prvsnls,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
78,Anderson,,General Election,,,2,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,7,7
79,Anderson,,General Election,,,2,,President,Howie Hawkins / Angela Walker,Grn,2,0
81,Anderson,,General Election,,,2,,President,President R. Boddie/Eric C. Stoneham,,0,0
82,Anderson,,General Election,,,2,,President,Brian Carroll/Amar Patel,,0,0
83,Anderson,,General Election,,,2,,President,Todd Cella/Tim Cella,,0,0
84,Anderson,,General Election,,,2,,President,Jesse Cuellar/Jimmy Monreal,,0,0
85,Anderson,,General Election,,,2,,President,Tom Hoefling/Andy Prior,,0,0
86,Anderson,,General Election,,,2,,President,Gloria La Riva/Leonard Peltier,,0,0
87,Anderson,,General Election,,,2,,President,Abram Loeb/Jennifer Jairala,,0,0
88,Anderson,,General Election,,,2,,President,Robert Morrow/Anne Beckett,,0,0
89,Anderson,,General Election,,,2,,President,Kasey Wells/Rachel Wells,,0,0
91,Anderson,,General Election,,,2,,United States Senator,John Coryn,Rep,1087,434
92,Anderson,,General Election,,,2,,United States Senator,"Mary ""MJ"" Hegar",Dem,162,37
93,Anderson,,General Election,,,2,,United States Senator,Kerry Douglas Mckennon,Lib,13,10
94,Anderson,,General Election,,,2,,United States Senator,David B. Collins,Grn,8,2
96,Anderson,,General Election,,,2,,United States Senator,Ricardo Turullols-Bonilla,,,
98,Anderson,,General Election,,,2,,U.S.Rep Dist 5,Lance Gooden,Rep,1089,434
99,Anderson,,General Election,,,2,,U.S.Rep Dist 5,Carolyn Salter,Dem,165,41
100,Anderson,,General Election,,,2,,U.S.Rep Dist 5,Kevin A. Hale,Lib,12,9
102,Anderson,,General Election,,,2,,Railroad Commissioner,"James ""Jim"" Wright",Rep,1068,430
103,Anderson,,General Election,,,2,,Railroad Commissioner,Chrysta Castaneda,Dem,165,37
104,Anderson,,General Election,,,2,,Railroad Commissioner,Matt Sterett,Lib,19,14
105,Anderson,,General Election,,,2,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,4,1
107,Anderson,,General Election,,,2,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,1074,427
108,Anderson,,General Election,,,2,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,160,40
109,Anderson,,General Election,,,2,,"Chief Justice, Supreme Court",Mark Ash,Lib,19,10
111,Anderson,,General Election,,,2,,"Justice, Supreme Court",Jane Bland,Rep,1091,441
112,Anderson,,General Election,,,2,,Place 6,Kathy Cheng,Dem,159,36
114,Anderson,,General Election,,,2,,"Justice, Supreme Court",Jeff Boyd,Rep,1075,431
115,Anderson,,General Election,,,2,,Place 7,Staci Williams,Dem,160,37
116,Anderson,,General Election,,,2,,Place 7,William Bryan Strange III,Lib,13,10
118,Anderson,,General Election,,,2,,"Justice, Supreme Court",Brett Busby,Rep,1077,427
119,Anderson,,General Election,,,2,,Place 8,Gisela D. Triana,Dem,158,37
120,Anderson,,General Election,,,2,,Place 8,Tom Oxford,Lib,18,14
122,Anderson,,General Election,,,2,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,1089,435
123,Anderson,,General Election,,,2,, ,Elizabeth Davis Frizell,Dem,162,42
125,Anderson,,General Election,,,2,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,1091,437
126,Anderson,,General Election,,,2,, ,Tina Clinton,Dem,158,38
128,Anderson,,General Election,,,2,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,1087,438
129,Anderson,,General Election,,,2,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,158,37
131,Anderson,,General Election,,,2,,"State Board of Education, District 9",Kevin M. Ellis,Rep,1082,438
132,Anderson,,General Election,,,2,,"State Board of Education, District 9",Brenda Davis,Dem,172,43
134,Anderson,,General Election,,,2,,"State Rep, District 8",Cody Harris,Rep,1133,452
135,Anderson,,General Election,,,2,,"State Rep, District 8",R. Edwin Adams,Lib,106,28
137,Anderson,,General Election,,,2,,"Chief Justice,12 Crt of App District",Jim Worthen,Rep,1120,443
139,Anderson,,General Election,,,2,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,1128,447
141,Anderson,,General Election,,,2,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,1131,454
143,Anderson,,General Election,,,2,,Sheriff,Rudy Flores,Rep,1160,458
145,Anderson,,General Election,,,2,,Tax Assessor Collector,Margie H. Grissom,Rep,1119,440
147,Anderson,,General Election,,,2,,Commissioner Pct 1,Greg Chapin,Rep,1141,451
149,Anderson,,General Election,,,2,,Constable Pct 1,David Franklin,Rep,1143,452
151,Anderson,11/3/20,General Election,7,2,3,1204,President,Donald J. Trump / Mike Pence,Rep,601,145
152,Anderson,,General Election,, ,3,,President,Joseph R. Biden / Kamala D. Harris,Dem,105,13
153,Anderson,,General Election,,,3,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,6,1
154,Anderson,,General Election,,,3,,President,Howie Hawkins / Angela Walker,Grn,2,0
156,Anderson,,General Election,,,3,,President,President R. Boddie/Eric C. Stoneham,,0,0
157,Anderson,,General Election,,,3,,President,Brian Carroll/Amar Patel,,0,0
158,Anderson,,General Election,,,3,,President,Todd Cella/Tim Cella,,0,0
159,Anderson,,General Election,,,3,,President,Jesse Cuellar/Jimmy Monreal,,0,0
160,Anderson,,General Election,,,3,,President,Tom Hoefling/Andy Prior,,0,0
161,Anderson,,General Election,,,3,,President,Gloria La Riva/Leonard Peltier,,0,0
162,Anderson,,General Election,,,3,,President,Abram Loeb/Jennifer Jairala,,0,0
163,Anderson,,General Election,,,3,,President,Robert Morrow/Anne Beckett,,0,0
164,Anderson,,General Election,,,3,,President,Kasey Wells/Rachel Wells,,0,0
166,Anderson,,General Election,,,3,,United States Senator,John Coryn,Rep,594,142
167,Anderson,,General Election,,,3,,United States Senator,"Mary ""MJ"" Hegar",Dem,105,13
168,Anderson,,General Election,,,3,,United States Senator,Kerry Douglas Mckennon,Lib,7,2
169,Anderson,,General Election,,,3,,United States Senator,David B. Collins,Grn,1,2
171,Anderson,,General Election,,,3,,United States Senator,Ricardo Turullols-Bonilla,,,
173,Anderson,,General Election,,,3,,U.S.Rep Dist 5,Lance Gooden,Rep,595,145
174,Anderson,,General Election,,,3,,U.S.Rep Dist 5,Carolyn Salter,Dem,104,16
175,Anderson,,General Election,,,3,,U.S.Rep Dist 5,Kevin A. Hale,Lib,7,0
177,Anderson,,General Election,,,3,,Railroad Commissioner,"James ""Jim"" Wright",Rep,579,139
178,Anderson,,General Election,,,3,,Railroad Commissioner,Chrysta Castaneda,Dem,103,18
179,Anderson,,General Election,,,3,,Railroad Commissioner,Matt Sterett,Lib,13,1
180,Anderson,,General Election,,,3,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,2,0
182,Anderson,,General Election,,,3,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,584,144
183,Anderson,,General Election,,,3,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,102,13
184,Anderson,,General Election,,,3,,"Chief Justice, Supreme Court",Mark Ash,Lib,12,2
186,Anderson,,General Election,,,3,,"Justice, Supreme Court",Jane Bland,Rep,591,145
187,Anderson,,General Election,,,3,,Place 6,Kathy Cheng,Dem,103,13
189,Anderson,,General Election,,,3,,"Justice, Supreme Court",Jeff Boyd,Rep,587,142
190,Anderson,,General Election,,,3,,Place 7,Staci Williams,Dem,100,12
191,Anderson,,General Election,,,3,,Place 7,William Bryan Strange III,Lib,10,4
193,Anderson,,General Election,,,3,,"Justice, Supreme Court",Brett Busby,Rep,582,142
194,Anderson,,General Election,,,3,,Place 8,Gisela D. Triana,Dem,98,13
195,Anderson,,General Election,,,3,,Place 8,Tom Oxford,Lib,15,5
197,Anderson,,General Election,,,3,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,589,144
198,Anderson,,General Election,,,3,, ,Elizabeth Davis Frizell,Dem,104,16
200,Anderson,,General Election,,,3,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,585,144
201,Anderson,,General Election,,,3,, ,Tina Clinton,Dem,106,15
203,Anderson,,General Election,,,3,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,589,143
204,Anderson,,General Election,,,3,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,102,15
206,Anderson,,General Election,,,3,,"State Board of Education, District 9",Kevin M. Ellis,Rep,584,140
207,Anderson,,General Election,,,3,,"State Board of Education, District 9",Brenda Davis,Dem,109,18
209,Anderson,,General Election,,,3,,"State Rep, District 8",Cody Harris,Rep,626,150
210,Anderson,,General Election,,,3,,"State Rep, District 8",R. Edwin Adams,Lib,71,9
212,Anderson,,General Election,,,3,,"Chief Justice,12 Crt of App District",Jim Worthen,Rep,638,148
214,Anderson,,General Election,,,3,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,641,148
216,Anderson,,General Election,,,3,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,636,145
218,Anderson,,General Election,,,3,,Sheriff,Rudy Flores,Rep,661,149
220,Anderson,,General Election,,,3,,Tax Assessor Collector,Margie H. Grissom,Rep,634,144
222,Anderson,,General Election,,,3,,Commissioner Pct 1,Greg Chapin,Rep,630,145
224,Anderson,,General Election,,,3,,Constable Pct 1,David Franklin,Rep,638,144
226,Anderson,11/3/20,General Election,6,1,4,1583,President,Donald J. Trump / Mike Pence,Rep,715,316
227,Anderson,,General Election,,,4,,President,Joseph R. Biden / Kamala D. Harris,Dem,99,18
228,Anderson,,General Election,,,4,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,4,4
229,Anderson,,General Election,,,4,,President,Howie Hawkins / Angela Walker,Grn,0,0
231,Anderson,,General Election,,,4,,President,President R. Boddie/Eric C. Stoneham,,0,0
232,Anderson,,General Election,,,4,,President,Brian Carroll/Amar Patel,,0,0
233,Anderson,,General Election,,,4,,President,Todd Cella/Tim Cella,,0,0
234,Anderson,,General Election,,,4,,President,Jesse Cuellar/Jimmy Monreal,,0,0
235,Anderson,,General Election,,,4,,President,Tom Hoefling/Andy Prior,,0,0
236,Anderson,,General Election,,,4,,President,Gloria La Riva/Leonard Peltier,,0,0
237,Anderson,,General Election,,,4,,President,Abram Loeb/Jennifer Jairala,,0,0
238,Anderson,,General Election,,,4,,President,Robert Morrow/Anne Beckett,,0,0
239,Anderson,,General Election,,,4,,President,Kasey Wells/Rachel Wells,,0,0
241,Anderson,,General Election,,,4,,United States Senator,John Coryn,Rep,712,310
242,Anderson,,General Election,,,4,,United States Senator,"Mary ""MJ"" Hegar",Dem,91,21
243,Anderson,,General Election,,,4,,United States Senator,Kerry Douglas Mckennon,Lib,11,6
244,Anderson,,General Election,,,4,,United States Senator,David B. Collins,Grn,1,0
246,Anderson,,General Election,,,4,,United States Senator,Ricardo Turullols-Bonilla,,,
248,Anderson,,General Election,,,4,,U.S.Rep Dist 5,Lance Gooden,Rep,710,313
249,Anderson,,General Election,,,4,,U.S.Rep Dist 5,Carolyn Salter,Dem,92,20
250,Anderson,,General Election,,,4,,U.S.Rep Dist 5,Kevin A. Hale,Lib,12,4
252,Anderson,,General Election,,,4,,Railroad Commissioner,"James ""Jim"" Wright",Rep,706,317
253,Anderson,,General Election,,,4,,Railroad Commissioner,Chrysta Castaneda,Dem,86,13
254,Anderson,,General Election,,,4,,Railroad Commissioner,Matt Sterett,Lib,13,8
255,Anderson,,General Election,,,4,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,1,0
257,Anderson,,General Election,,,4,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,702,307
258,Anderson,,General Election,,,4,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,89,21
259,Anderson,,General Election,,,4,,"Chief Justice, Supreme Court",Mark Ash,Lib,13,5
261,Anderson,,General Election,,,4,,"Justice, Supreme Court",Jane Bland,Rep,712,317
262,Anderson,,General Election,,,4,,Place 6,Kathy Cheng,Dem,92,17
264,Anderson,,General Election,,,4,,"Justice, Supreme Court",Jeff Boyd,Rep,709,307
265,Anderson,,General Election,,,4,,Place 7,Staci Williams,Dem,90,20
266,Anderson,,General Election,,,4,,Place 7,William Bryan Strange III,Lib,10,4
268,Anderson,,General Election,,,4,,"Justice, Supreme Court",Brett Busby,Rep,710,311
269,Anderson,,General Election,,,4,,Place 8,Gisela D. Triana,Dem,83,16
270,Anderson,,General Election,,,4,,Place 8,Tom Oxford,Lib,16,6
272,Anderson,,General Election,,,4,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,716,314
273,Anderson,,General Election,,,4,, ,Elizabeth Davis Frizell,Dem,93,17
275,Anderson,,General Election,,,4,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,718,315
276,Anderson,,General Election,,,4,, ,Tina Clinton,Dem,90,18
278,Anderson,,General Election,,,4,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,716,314
279,Anderson,,General Election,,,4,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,90,18
281,Anderson,,General Election,,,4,,"State Board of Education, District 9",Kevin M. Ellis,Rep,706,314
282,Anderson,,General Election,,,4,,"State Board of Education, District 9",Brenda Davis,Dem,100,20
284,Anderson,,General Election,,,4,,"State Rep, District 8",Cody Harris,Rep,732,316
285,Anderson,,General Election,,,4,,"State Rep, District 8",R. Edwin Adams,Lib,70,14
287,Anderson,,General Election,,,4,,"Chief Justice,12 Crt of App District",Jim Worthen,Rep,737,311
289,Anderson,,General Election,,,4,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,741,311
291,Anderson,,General Election,,,4,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,732,313
293,Anderson,,General Election,,,4,,Sheriff,Rudy Flores,Rep,749,313
295,Anderson,,General Election,,,4,,Tax Assessor Collector,Margie H. Grissom,Rep,731,303
297,Anderson,,General Election,,,4,,Commissioner Pct 1,Greg Chapin,Rep,740,312
299,Anderson,,General Election,,,4,,Constable Pct 1,David Franklin,Rep,745,
301,Anderson,11/3/20,General Election,0,0,5,289,President,Donald J. Trump / Mike Pence,Rep,145,58
302,Anderson,,General Election,,,5,,President,Joseph R. Biden / Kamala D. Harris,Dem,9,3
303,Anderson,,General Election,,,5,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,0,0
304,Anderson,,General Election,,,5,,President,Howie Hawkins / Angela Walker,Grn,0,0
306,Anderson,,General Election,,,5,,President,President R. Boddie/Eric C. Stoneham,,0,0
307,Anderson,,General Election,,,5,,President,Brian Carroll/Amar Patel,,0,0
308,Anderson,,General Election,,,5,,President,Todd Cella/Tim Cella,,0,0
309,Anderson,,General Election,,,5,,President,Jesse Cuellar/Jimmy Monreal,,0,0
310,Anderson,,General Election,,,5,,President,Tom Hoefling/Andy Prior,,0,0
311,Anderson,,General Election,,,5,,President,Gloria La Riva/Leonard Peltier,,0,0
312,Anderson,,General Election,,,5,,President,Abram Loeb/Jennifer Jairala,,0,0
313,Anderson,,General Election,,,5,,President,Robert Morrow/Anne Beckett,,0,0
314,Anderson,,General Election,,,5,,President,Kasey Wells/Rachel Wells,,0,0
316,Anderson,,General Election,,,5,,United States Senator,John Coryn,Rep,145,57
317,Anderson,,General Election,,,5,,United States Senator,"Mary ""MJ"" Hegar",Dem,7,2
318,Anderson,,General Election,,,5,,United States Senator,Kerry Douglas Mckennon,Lib,1,0
319,Anderson,,General Election,,,5,,United States Senator,David B. Collins,Grn,0,0
321,Anderson,,General Election,,,5,,United States Senator,Ricardo Turullols-Bonilla,,,
323,Anderson,,General Election,,,5,,U.S.Rep Dist 5,Lance Gooden,Rep,144,57
324,Anderson,,General Election,,,5,,U.S.Rep Dist 5,Carolyn Salter,Dem,7,2
325,Anderson,,General Election,,,5,,U.S.Rep Dist 5,Kevin A. Hale,Lib,1,0
327,Anderson,,General Election,,,5,,Railroad Commissioner,"James ""Jim"" Wright",Rep,143,54
328,Anderson,,General Election,,,5,,Railroad Commissioner,Chrysta Castaneda,Dem,6,3
329,Anderson,,General Election,,,5,,Railroad Commissioner,Matt Sterett,Lib,2,0
330,Anderson,,General Election,,,5,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,1,1
332,Anderson,,General Election,,,5,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,144,56
333,Anderson,,General Election,,,5,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,6,2
334,Anderson,,General Election,,,5,,"Chief Justice, Supreme Court",Mark Ash,Lib,2,0
336,Anderson,,General Election,,,5,,"Justice, Supreme Court",Jane Bland,Rep,144,55
337,Anderson,,General Election,,,5,,Place 6,Kathy Cheng,Dem,7,3
339,Anderson,,General Election,,,5,,"Justice, Supreme Court",Jeff Boyd,Rep,144,55
340,Anderson,,General Election,,,5,,Place 7,Staci Williams,Dem,6,3
341,Anderson,,General Election,,,5,,Place 7,William Bryan Strange III,Lib,1,0
343,Anderson,,General Election,,,5,,"Justice, Supreme Court",Brett Busby,Rep,144,55
344,Anderson,,General Election,,,5,,Place 8,Gisela D. Triana,Dem,6,3
345,Anderson,,General Election,,,5,,Place 8,Tom Oxford,Lib,1,0
347,Anderson,,General Election,,,5,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,144,55
348,Anderson,,General Election,,,5,, ,Elizabeth Davis Frizell,Dem,8,3
350,Anderson,,General Election,,,5,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,141,55
351,Anderson,,General Election,,,5,, ,Tina Clinton,Dem,8,3
353,Anderson,,General Election,,,5,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,142,55
354,Anderson,,General Election,,,5,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,9,3
356,Anderson,,General Election,,,5,,"State Board of Education, District 9",Kevin M. Ellis,Rep,143,55
357,Anderson,,General Election,,,5,,"State Board of Education, District 9",Brenda Davis,Dem,8,3
359,Anderson,,General Election,,,5,,"State Rep, District 8",Cody Harris,Rep,143,58
360,Anderson,,General Election,,,5,,"State Rep, District 8",R. Edwin Adams,Lib,8,2
362,Anderson,,General Election,,,5,,"Chief Justice,12 Crt of Appeals District",Jim Worthen,Rep,149,56
364,Anderson,,General Election,,,5,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,147,57
366,Anderson,,General Election,,,5,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,148,56
368,Anderson,,General Election,,,5,,Sheriff,Rudy Flores,Rep,147,59
370,Anderson,,General Election,,,5,,Tax Assessor Collector,Margie H. Grissom,Rep,144,58
372,Anderson,,General Election,,,5,,Commissioner Pct 1,Greg Chapin,Rep,151,59
374,Anderson,,General Election,,,5,,Constable Pct 1,David Franklin,Rep,149,59
376,Anderson,11/3/20,General Election,1,0,6,1460,President,Donald J. Trump / Mike Pence,Rep,345,43
377,Anderson,,General Election,,,6,,President,Joseph R. Biden / Kamala D. Harris,Dem,326,63
378,Anderson,,General Election,,,6,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,1,1
379,Anderson,,General Election,,,6,,President,Howie Hawkins / Angela Walker,Grn,4,0
381,Anderson,,General Election,,,6,,President,President R. Boddie/Eric C. Stoneham,,0,0
382,Anderson,,General Election,,,6,,President,Brian Carroll/Amar Patel,,0,0
383,Anderson,,General Election,,,6,,President,Todd Cella/Tim Cella,,0,0
384,Anderson,,General Election,,,6,,President,Jesse Cuellar/Jimmy Monreal,,0,0
385,Anderson,,General Election,,,6,,President,Tom Hoefling/Andy Prior,,0,0
386,Anderson,,General Election,,,6,,President,Gloria La Riva/Leonard Peltier,,0,0
387,Anderson,,General Election,,,6,,President,Abram Loeb/Jennifer Jairala,,0,0
388,Anderson,,General Election,,,6,,President,Robert Morrow/Anne Beckett,,0,0
389,Anderson,,General Election,,,6,,President,Kasey Wells/Rachel Wells,,0,0
391,Anderson,,General Election,,,6,,United States Senator,John Coryn,Rep,353,41
392,Anderson,,General Election,,,6,,United States Senator,"Mary ""MJ"" Hegar",Dem,303,59
393,Anderson,,General Election,,,6,,United States Senator,Kerry Douglas Mckennon,Lib,9,7
394,Anderson,,General Election,,,6,,United States Senator,David B. Collins,Grn,8,0
396,Anderson,,General Election,,,6,,United States Senator,Ricardo Turullols-Bonilla,,,
398,Anderson,,General Election,,,6,,U.S.Rep Dist 5,Lance Gooden,Rep,340,39
399,Anderson,,General Election,,,6,,U.S.Rep Dist 5,Carolyn Salter,Dem,317,60
400,Anderson,,General Election,,,6,,U.S.Rep Dist 5,Kevin A. Hale,Lib,16,6
402,Anderson,,General Election,,,6,,Railroad Commissioner,"James ""Jim"" Wright",Rep,344,39
403,Anderson,,General Election,,,6,,Railroad Commissioner,Chrysta Castaneda,Dem,308,59
404,Anderson,,General Election,,,6,,Railroad Commissioner,Matt Sterett,Lib,7,7
405,Anderson,,General Election,,,6,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,6,0
407,Anderson,,General Election,,,6,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,335,38
408,Anderson,,General Election,,,6,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,311,58
409,Anderson,,General Election,,,6,,"Chief Justice, Supreme Court",Mark Ash,Lib,15,8
411,Anderson,,General Election,,,6,,"Justice, Supreme Court",Jane Bland,Rep,348,43
412,Anderson,,General Election,,,6,,Place 6,Kathy Cheng,Dem,310,62
414,Anderson,,General Election,,,6,,"Justice, Supreme Court",Jeff Boyd,Rep,337,39
415,Anderson,,General Election,,,6,,Place 7,Staci Williams,Dem,310,60
416,Anderson,,General Election,,,6,,Place 7,William Bryan Strange III,Lib,13,4
418,Anderson,,General Election,,,6,,"Justice, Supreme Court",Brett Busby,Rep,332,39
419,Anderson,,General Election,,,6,,Place 8,Gisela D. Triana,Dem,311,59
420,Anderson,,General Election,,,6,,Place 8,Tom Oxford,Lib,17,7
422,Anderson,,General Election,,,6,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,337,42
423,Anderson,,General Election,,,6,, ,Elizabeth Davis Frizell,Dem,322,62
425,Anderson,,General Election,,,6,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,336,43
426,Anderson,,General Election,,,6,, ,Tina Clinton,Dem,318,61
428,Anderson,,General Election,,,6,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,341,44
429,Anderson,,General Election,,,6,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,313,59
431,Anderson,,General Election,,,6,,"State Board of Education, District 9",Kevin M. Ellis,Rep,334,42
