political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,,candidate_name,party code,early_votes,election_votes
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Amanda K. Edwards,DEM,#REF!,4
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,"Mary ""MJ"" Hegar",DEM,#REF!,9
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,"Annie ""Mamá"" Garcia",DEM,#REF!,26
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Adrian Ocegueda,DEM,#REF!,8
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Victor Hugo Harris,DEM,#REF!,7
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,D.R. Hunter,DEM,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Royce West,DEM,#REF!,5
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"United States Representative,
District No. 28",,Jessica Cisneros,DEM,#REF!,69
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"United States Representative,
District No. 28",,Henry Cuellar,DEM,#REF!,156
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Railroad Commissioner,,Kelly Stone,DEM,#REF!,24
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Railroad Commissioner,,Mark Watson,DEM,#REF!,11
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Railroad Commissioner,,Chrysta Castañeda,DEM,#REF!,45
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,#REF!,76
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,#REF!,88
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,#REF!,56
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 6
Unexpired Term",,Larry Praeger,DEM,#REF!,66
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 6
Unexpired Term",,Kathy Cheng,DEM,#REF!,67
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,#REF!,99
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,#REF!,35
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,#REF!,44
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,#REF!,87
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,#REF!,42
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,#REF!,20
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,#REF!,66
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,#REF!,44
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,#REF!,85
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,#REF!,121
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Member, State Board of Education, District 1",,Georgina Perez,DEM,#REF!,123
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"State Senator, District 21",,Judith Zaffirini,DEM,#REF!,173
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"State Representative, District 80",,Danny Valdez,DEM,#REF!,62
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"State Representative, District 80",,Tracy King,DEM,#REF!,160
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Chief Justice, 4th Court of Appeals District",,Rebeca Martinez,DEM,#REF!,136
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"District Attorney, 49th Judicial District",,Isidro R. Alaniz,DEM,#REF!,163
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,County Attorney,,"S. Alfonso ""Poncho"" Figueroa",DEM,#REF!,161
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Sheriff,,Raymundo Del Bosque,DEM,#REF!,111
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Sheriff,,Ramon E. Montes,DEM,#REF!,112
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Sheriff,,"Sigifredo ""Sigi"" Gonzalez Jr",DEM,#REF!,33
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,County Tax Assessor-Collector,,Delia R. Mendoza,DEM,#REF!,139
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,County Tax Assessor-Collector,,Adriana Caballero Figueroa,DEM,#REF!,109
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"County Commissioner, Precinct 1",,Paco Mendoza,DEM,#REF!,177
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"County Commissioner, Precinct 1",,Ismael Morales Jr,DEM,#REF!,71
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Constable, Precinct 1",,Mario H. Garcia Jr,DEM,#REF!,158
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,County Chairman,,Jorge Montes III,DEM,#REF!,152
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Bob Ely,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Zoltan G. Istvan,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Donald J. Trump,REP,#REF!,4
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Joe Walsh,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Bill Weld,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Matthew John Matern,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Uncommitted,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Mark Yancey,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,John Anthony Castro,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Dwayne Stovall,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,John Cornyn,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Virgil Bierschwale,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"United States Representative,
District No. 28",,Sandra Whitten,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Railroad Commissioner,,Ryan Sitton,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Railroad Commissioner,,"James ""Jim"" Wright",REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Chief Justice, Supreme Court",,Nathan Hecht,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 6
Unexpired Term",,Jane Bland,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,#REF!,3
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Justice, Supreme Court, Place 8",,Brett Busby,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Bert Richardson,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Gina Parker,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 4",,Kevin Patrick Yeary,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Judge, Court of Criminal Appeals, Place 9",,David Newell,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Member, State Board of Education, District 1",,Jennifer Ivey,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"State Senator, District 21",,Frank Pomeroy,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,"Chief Justice, 4th Court of Appeals District",,Renee Yanta,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #1,,Yes,DEM,#REF!,168
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #1,,No,DEM,#REF!,20
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #2,,Yes,DEM,#REF!,182
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #2,,No,DEM,#REF!,16
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #3,,Yes,DEM,#REF!,179
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #3,,No,DEM,#REF!,13
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #4,,Yes,DEM,#REF!,186
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #4,,No,DEM,#REF!,10
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #5,,Yes,DEM,#REF!,186
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #5,,No,DEM,#REF!,10
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #6,,Yes,DEM,#REF!,182
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #6,,No,DEM,#REF!,14
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #7,,Yes,DEM,#REF!,173
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #7,,No,DEM,#REF!,19
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #8,,Yes,DEM,#REF!,166
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #8,,No,DEM,#REF!,23
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #9,,Yes,DEM,#REF!,176
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #9,,No,DEM,#REF!,13
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #10,,Yes,DEM,#REF!,159
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #10,,No,DEM,#REF!,29
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #11,,Yes,DEM,#REF!,159
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition #11,,No,DEM,#REF!,29
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 1,,Yes,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 1,,No,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 2,,Yes,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 2,,No,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 3,,Yes,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 3,,No,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 4,,Yes,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 4,,No,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 5,,Yes,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 5,,No,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 6,,Yes,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 6,,No,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 7,,Yes,REP,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 7,,No,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 8,,Yes,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 8,,No,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 9,,Yes,REP,#REF!,3
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 9,,No,REP,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 10,,Yes,REP,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,Proposition 10,,No,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Joseph R. Biden,DEM,#REF!,9
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Amy Klobuchar,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Robby Wells,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Michael R. Bloomberg,DEM,#REF!,8
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Andrew Yang,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Marianne Williamson,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Tom Steyer,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Deval Patrick,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,"Roque ""Rocky"" De La Fuente",DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Pete Buttigieg,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,John K. Delaney,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Elizabeth Warren,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Cory Booker,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Bernie Sanders,DEM,#REF!,8
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Julián Castro,DEM,#REF!,3
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Michael Bennet,DEM,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Tulsi Gabbard,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Cristina Tzintzun Ramirez,DEM,#REF!,8
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Michael Cooper,DEM,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Sema Hernandez,DEM,#REF!,3
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Jack Daniel Foster Jr,DEM,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Chris Bell,DEM,#REF!,2
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Amanda K. Edwards,DEM,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,"Mary ""MJ"" Hegar",DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,"Annie ""Mamá"" Garcia",DEM,#REF!,4
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Adrian Ocegueda,DEM,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Victor Hugo Harris,DEM,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,D.R. Hunter,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Royce West,DEM,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"United States Representative,
District No. 28",,Jessica Cisneros,DEM,#REF!,7
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"United States Representative,
District No. 28",,Henry Cuellar,DEM,#REF!,25
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Railroad Commissioner,,Kelly Stone,DEM,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Railroad Commissioner,,Mark Watson,DEM,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Railroad Commissioner,,Chrysta Castañeda,DEM,#REF!,10
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,#REF!,14
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,#REF!,12
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,#REF!,12
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 6
Unexpired Term",,Larry Praeger,DEM,#REF!,15
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 6
Unexpired Term",,Kathy Cheng,DEM,#REF!,5
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,#REF!,14
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,#REF!,6
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,#REF!,7
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,#REF!,16
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,#REF!,4
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,#REF!,8
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,#REF!,9
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,#REF!,12
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,#REF!,9
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,#REF!,12
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Member, State Board of Education, District 1",,Georgina Perez,DEM,#REF!,13
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"State Senator, District 21",,Judith Zaffirini,DEM,#REF!,19
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"State Representative, District 80",,Danny Valdez,DEM,#REF!,15
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"State Representative, District 80",,Tracy King,DEM,#REF!,12
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Chief Justice, 4th Court of Appeals District",,Rebeca Martinez,DEM,#REF!,14
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"District Attorney, 49th Judicial District",,Isidro R. Alaniz,DEM,#REF!,14
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,County Attorney,,"S. Alfonso ""Poncho"" Figueroa",DEM,#REF!,13
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Sheriff,,Raymundo Del Bosque,DEM,#REF!,15
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Sheriff,,Ramon E. Montes,DEM,#REF!,14
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Sheriff,,"Sigifredo ""Sigi"" Gonzalez Jr",DEM,#REF!,5
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,County Tax Assessor-Collector,,Delia R. Mendoza,DEM,#REF!,27
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,County Tax Assessor-Collector,,Adriana Caballero Figueroa,DEM,#REF!,5
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"County Commissioner, Precinct 1",,Paco Mendoza,DEM,#REF!,21
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"County Commissioner, Precinct 1",,Ismael Morales Jr,DEM,#REF!,12
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Constable, Precinct 1",,Mario H. Garcia Jr,DEM,#REF!,15
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,County Chairman,,Jorge Montes III,DEM,#REF!,16
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Bob Ely,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Zoltan G. Istvan,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Donald J. Trump,REP,#REF!,2
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Joe Walsh,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Bill Weld,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Matthew John Matern,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,President,,Uncommitted,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Mark Yancey,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,John Anthony Castro,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Dwayne Stovall,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,John Cornyn,REP,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,United States Senator,,Virgil Bierschwale,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"United States Representative,
District No. 28",,Sandra Whitten,REP,#REF!,2
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Railroad Commissioner,,Ryan Sitton,REP,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,Railroad Commissioner,,"James ""Jim"" Wright",REP,#REF!,1
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Chief Justice, Supreme Court",,Nathan Hecht,REP,#REF!,2
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 6
Unexpired Term",,Jane Bland,REP,#REF!,2
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,#REF!,2
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Justice, Supreme Court, Place 8",,Brett Busby,REP,#REF!,2
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,Bert Richardson,REP,#REF!,0
Falcon Community Center,3/3/2020,Primary Election,4,1,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,Gina Parker,REP,#REF!,1
