March 2020 Democratic Primary 3/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Democratic Party,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic Party,BALLOTS CAST BLANK,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,"DEM US Representative, Dist 27","DEM US Representative, Dist 27","DEM US Representative, Dist 34","DEM US Representative, Dist 34","DEM US Representative, Dist 34",DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 9","DEM State Senator, Dist 18","DEM State Representative, Dist 17","DEM Justice, 13 Ct of App Dist, Pl 4","DEM Justice, 13 Ct of App Dist, Pl 6",DEM Sheriff,DEM Sheriff,DEM County Chair,DEM Proposition #1,DEM Proposition #1,DEM Proposition #2,DEM Proposition #2,DEM Proposition #3,DEM Proposition #3,DEM Proposition #4,DEM Proposition #4,DEM Proposition #5,DEM Proposition #5,DEM Proposition #6,DEM Proposition #6,DEM Proposition #7,DEM Proposition #7,DEM Proposition #8,DEM Proposition #8,DEM Proposition #9,DEM Proposition #9,DEM Proposition #10,DEM Proposition #10,DEM Proposition #11,DEM Proposition #11
GONZA,3,Precinct 3- Election Day,1693,0,202,50,0,0,0,16,0,1,13,0,0,1,0,0,19,0,0,0,0,0,4,12,1,2,5,10,2,1,3,0,2,2,31,9,0,0,0,11,18,6,7,9,30,11,28,14,24,10,30,26,6,9,14,26,40,42,43,42,41,25,18,43,46,1,44,1,47,0,46,1,46,2,45,2,45,2,46,0,47,0,46,1,43,2
GONZA,3,Precinct 3- EarlyVoting in Person,1693,0,423,22,0,0,0,6,0,0,6,0,3,1,1,1,2,0,0,0,2,0,0,4,1,2,3,2,0,2,1,0,2,3,12,7,0,0,0,7,4,1,6,6,13,6,12,10,10,7,12,14,3,3,10,8,18,18,19,18,19,9,11,19,18,3,21,1,19,1,22,0,22,0,21,1,21,0,20,1,22,0,18,3,17,4
GONZA,3,Precinct 3- By Mail,1693,0,17,6,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,2,3,0,0,0,2,2,1,0,2,3,3,2,2,3,3,2,4,0,1,2,3,6,6,6,6,6,3,1,6,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,4,1,3,2
GONZA,3,Precinct 3- Provisional,1693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,4,Precinct 4- Election Day,1079,0,71,25,0,1,0,4,0,0,9,0,1,1,0,0,9,0,0,0,0,0,1,6,0,3,4,0,0,1,0,0,2,3,0,0,6,7,8,3,10,4,5,9,12,9,12,12,10,5,17,17,3,2,10,13,20,20,22,21,20,12,11,22,24,0,23,0,23,0,23,0,23,0,23,0,23,0,21,2,22,1,22,1,23,0
GONZA,4,Precinct 4- EarlyVoting in Person,1079,0,85,20,0,0,0,6,0,0,3,0,1,0,0,0,3,0,0,1,3,0,1,2,0,2,3,3,0,0,1,0,1,2,0,0,6,8,0,5,4,4,2,5,9,5,10,7,7,7,8,10,2,3,3,11,13,14,15,15,12,8,11,17,17,2,17,2,18,0,19,0,18,1,18,1,17,0,17,1,18,1,17,1,18,0
GONZA,4,Precinct 4- By Mail,1079,0,6,5,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,2,2,0,0,1,1,2,0,3,0,2,1,0,0,2,2,1,2,2,2,2,3,2,2,5,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,2,1,2,1
GONZA,4,Precinct 4- Provisional,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,5,Precinct 5- Election Day,669,0,122,27,0,0,0,4,0,0,7,0,0,2,0,0,13,0,0,0,1,0,0,4,0,0,3,5,0,7,0,2,2,2,0,0,13,11,3,9,2,10,6,5,21,8,19,14,13,15,11,18,3,6,9,17,25,26,26,26,26,12,15,26,26,1,26,1,27,0,26,1,27,0,26,1,26,1,27,0,27,0,26,1,26,1
GONZA,5,Precinct 5- EarlyVoting in Person,669,0,146,8,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,2,2,2,0,2,3,1,1,6,2,5,2,5,2,5,4,0,3,2,5,6,6,6,7,7,1,7,7,6,2,5,3,6,2,5,3,6,2,6,1,6,2,6,2,6,2,6,2,6,1
GONZA,5,Precinct 5- By Mail,669,0,8,5,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,1,2,1,1,2,1,1,4,2,3,1,4,3,2,4,0,1,1,4,4,4,5,5,5,1,3,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,4,0,5,0
GONZA,5,Precinct 5- Provisional,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,6,Precinct 6- Election Day,466,0,67,10,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,2,1,0,0,1,2,1,2,0,0,0,0,0,0,4,2,1,2,1,1,2,4,3,2,5,1,6,3,4,4,0,3,2,5,7,7,7,7,7,7,2,8,7,2,7,2,8,1,7,2,8,1,8,1,9,1,8,1,7,1,8,1,6,2
GONZA,6,Precinct 6- EarlyVoting in Person,466,0,53,6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,2,4,0,3,1,0,2,0,6,1,5,3,3,2,4,3,1,2,2,4,5,6,6,6,6,2,4,6,5,1,5,1,6,0,6,0,6,0,6,0,6,0,6,0,5,1,6,0,5,1
GONZA,6,Precinct 6- By Mail,466,0,6,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,2,0,2,1,0,0,1,2,2,2,2,3,2,0,3,3,3,0,2,0,2,0,2,0,3,0,3,0,2,0,2,0,2,0,3,0,2,0
GONZA,6,Precinct 6- Provisional,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,7,Precinct 7- Election Day,434,0,65,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,2,1,1,0,0,4,3,1,3,1,2,1,3,0,0,1,2,3,3,3,4,3,2,2,3,3,1,3,1,3,1,3,1,3,1,4,0,3,0,3,1,4,0,2,2,3,1
GONZA,7,Precinct 7- EarlyVoting in Person,434,0,94,10,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,1,0,1,0,0,2,3,7,0,0,0,2,0,5,3,2,8,3,7,3,6,1,9,6,2,2,2,8,7,8,9,9,9,5,4,9,9,1,7,3,10,0,9,1,10,0,10,0,10,0,9,1,10,0,10,0,8,2
GONZA,7,Precinct 7- By Mail,434,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,2,2,0,0,2,0,0,2,2,2,2,2,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
GONZA,7,Precinct 7- Provisional,434,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,8,Precinct 8- Election Day,359,0,58,9,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,3,2,0,0,0,2,0,1,2,0,5,1,4,1,4,0,5,4,0,1,0,5,5,5,6,6,6,5,0,6,8,1,8,1,8,1,8,1,9,0,9,0,9,0,9,0,9,0,8,1,8,1
GONZA,8,Precinct 8- EarlyVoting in Person,359,0,62,12,0,0,0,1,0,0,3,0,0,2,0,0,2,0,0,1,1,0,1,2,1,0,2,2,1,1,0,1,0,0,11,1,0,0,0,2,6,2,2,3,9,4,8,2,10,3,8,10,0,2,6,6,11,11,10,10,12,8,4,12,12,0,11,1,12,0,12,0,12,0,11,1,11,1,11,1,11,0,11,0,11,0
GONZA,8,Precinct 8- By Mail,359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,8,Precinct 8- Provisional,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,9,Precinct 9- Election Day,1179,0,155,56,0,0,0,7,0,0,16,0,0,3,0,0,27,1,0,1,0,1,7,21,1,4,5,8,0,2,1,0,1,1,33,15,0,0,0,9,20,12,11,19,29,20,32,22,31,19,32,30,10,12,15,35,49,48,47,47,47,28,21,47,51,3,50,1,53,0,54,0,53,0,53,0,52,1,54,0,54,0,53,0,52,1
GONZA,9,Precinct 9- EarlyVoting in Person,1179,0,185,40,0,0,0,6,0,0,11,2,4,3,0,1,10,0,0,1,2,0,2,7,2,3,7,5,1,1,1,0,2,2,23,8,0,0,0,10,8,6,7,19,12,15,18,11,20,17,16,17,8,8,8,24,28,30,31,30,28,18,13,28,36,1,37,0,35,1,36,1,36,0,31,5,33,3,35,2,33,3,33,2,34,1
GONZA,9,Precinct 9- By Mail,1179,0,14,12,0,0,0,5,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,1,0,4,5,0,0,0,3,3,0,3,3,7,3,7,6,3,4,6,4,2,3,5,5,8,9,8,9,9,8,2,9,9,2,9,1,12,0,11,1,11,0,12,0,11,1,11,0,11,0,12,0,9,2
GONZA,9,Precinct 9- Provisional,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,10,Precinct 10- Election Day,654,0,72,8,0,0,0,1,1,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,3,2,3,0,3,1,1,6,3,4,2,5,4,3,4,0,3,1,6,7,7,6,6,6,1,6,6,6,2,6,2,6,2,7,1,7,1,6,2,4,4,5,3,6,2,6,2,5,3
GONZA,10,Precinct 10- EarlyVoting in Person,654,0,53,12,0,0,0,5,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,5,1,1,2,3,2,1,2,6,2,5,1,7,2,5,7,0,1,1,6,5,7,7,8,7,6,6,9,9,2,9,3,10,2,10,2,10,2,9,2,8,3,10,2,11,1,10,2,9,3
GONZA,10,Precinct 10- By Mail,654,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,10,Precinct 10- Provisional,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,11,Precinct 11- Election Day,218,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,4,0,0,0,3,0,1,0,2,2,2,1,1,1,2,1,1,0,2,1,2,2,4,4,1,1,5,1,4,1,4,2,4,3,3,5,1,6,0,6,0,3,3,4,2,4,2,3,2,3,2
GONZA,11,Precinct 11- EarlyVoting in Person,218,0,44,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
GONZA,11,Precinct 11- By Mail,218,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,11,Precinct 11- Provisional,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,12,Precinct 12- Election Day,181,0,26,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,2,0,0,0,2,2,2,2,2,2,1,1,2,3,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,3,0,2,0,3,0
GONZA,12,Precinct 12- EarlyVoting in person,181,0,55,10,0,0,0,1,0,0,0,1,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,4,5,0,0,0,3,2,2,3,4,6,3,7,3,7,6,4,9,0,1,5,5,10,10,10,10,9,4,6,10,10,0,10,0,10,0,9,1,10,0,10,0,10,0,10,0,10,0,10,0,9,1
GONZA,12,Precinct 12- By Mail,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,12,Precinct 12- Provisional,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,13,Precinct 13- Election Day,351,0,73,12,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,4,0,1,1,1,0,1,0,0,1,0,0,0,4,4,0,4,2,2,1,2,7,6,3,3,5,4,5,6,1,1,4,4,8,7,8,8,7,5,5,8,12,0,10,1,11,0,11,0,11,0,12,0,10,2,10,0,11,0,10,0,10,0
GONZA,13,Precinct 13- EarlyVoting in Person,351,0,65,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,3,0,3,2,1,1,2,2,1,0,1,2,3,3,3,3,3,2,1,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
GONZA,13,Precinct 13- By Mail,351,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
GONZA,13,Precinct 13- Provisional,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,14,Precinct 14- Election Day,79,0,25,5,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,4,0,0,1,0,3,1,0,5,3,2,2,3,3,2,4,0,1,2,3,4,4,4,4,4,5,0,5,3,2,3,2,4,1,3,2,5,0,3,2,2,2,3,2,4,1,4,1,3,2
