"101" ,269 ,"President" ,"NP" ,15 ,"Barack Obama" ,"NP" ,"Election Day TS" ,14 ,
"101" ,282 ,"Justice, Supreme Ct, Pl. 6" ,"NP" ,10 ,"Michele Petty" ,"NP" ,"Early Voting" ,0 ,
"101" ,282 ,"Justice, Supreme Ct, Pl. 6" ,"NP" ,10 ,"Michele Petty" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,282 ,"Justice, Supreme Ct, Pl. 6" ,"NP" ,10 ,"Michele Petty" ,"NP" ,"Early Voting" ,6 ,
"101" ,282 ,"Justice, Supreme Ct, Pl. 6" ,"NP" ,10 ,"Michele Petty" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,282 ,"Justice, Supreme Ct, Pl. 6" ,"NP" ,10 ,"Michele Petty" ,"NP" ,"Total" ,17 ,
"101" ,285 ,"Presiding Jdg, Ct Crim App" ,"NP" ,10 ,"Keith Hampton" ,"NP" ,"Election Day TS" ,11 ,
"101" ,285 ,"Presiding Jdg, Ct Crim App" ,"NP" ,10 ,"Keith Hampton" ,"NP" ,"Election Day OS" ,0 ,
"101" ,285 ,"Presiding Jdg, Ct Crim App" ,"NP" ,10 ,"Keith Hampton" ,"NP" ,"Early Voting" ,0 ,
"101" ,285 ,"Presiding Jdg, Ct Crim App" ,"NP" ,10 ,"Keith Hampton" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,285 ,"Presiding Jdg, Ct Crim App" ,"NP" ,10 ,"Keith Hampton" ,"NP" ,"Early Voting" ,6 ,
"101" ,285 ,"Presiding Jdg, Ct Crim App" ,"NP" ,10 ,"Keith Hampton" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,285 ,"Presiding Jdg, Ct Crim App" ,"NP" ,10 ,"Keith Hampton" ,"NP" ,"Total" ,17 ,
"101" ,335 ,"Member, State Board of Education, Dist. 5" ,"NP" ,10 ,"Rebecca Bell-Meterea" ,"NP" ,"Election Day TS" ,12 ,
"101" ,335 ,"Member, State Board of Education, Dist. 5" ,"NP" ,10 ,"Rebecca Bell-Meterea" ,"NP" ,"Election Day OS" ,0 ,
"101" ,335 ,"Member, State Board of Education, Dist. 5" ,"NP" ,10 ,"Rebecca Bell-Meterea" ,"NP" ,"Early Voting" ,0 ,
"101" ,335 ,"Member, State Board of Education, Dist. 5" ,"NP" ,10 ,"Rebecca Bell-Meterea" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,335 ,"Member, State Board of Education, Dist. 5" ,"NP" ,10 ,"Rebecca Bell-Meterea" ,"NP" ,"Early Voting" ,6 ,
"101" ,335 ,"Member, State Board of Education, Dist. 5" ,"NP" ,10 ,"Rebecca Bell-Meterea" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,335 ,"Member, State Board of Education, Dist. 5" ,"NP" ,10 ,"Rebecca Bell-Meterea" ,"NP" ,"Total" ,18 ,
"101" ,337 ,"State Senator, Dist. 25" ,"NP" ,10 ,"John Courage" ,"NP" ,"Election Day TS" ,11 ,
"101" ,337 ,"State Senator, Dist. 25" ,"NP" ,10 ,"John Courage" ,"NP" ,"Election Day OS" ,0 ,
"101" ,337 ,"State Senator, Dist. 25" ,"NP" ,10 ,"John Courage" ,"NP" ,"Early Voting" ,0 ,
"101" ,337 ,"State Senator, Dist. 25" ,"NP" ,10 ,"John Courage" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,337 ,"State Senator, Dist. 25" ,"NP" ,10 ,"John Courage" ,"NP" ,"Early Voting" ,6 ,
"101" ,337 ,"State Senator, Dist. 25" ,"NP" ,10 ,"John Courage" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,337 ,"State Senator, Dist. 25" ,"NP" ,10 ,"John Courage" ,"NP" ,"Total" ,17 ,
"101" ,340 ,"Just, 4th Ct App, Pl 2" ,"NP" ,10 ,"Baldemar Garza" ,"NP" ,"Election Day TS" ,11 ,
"101" ,340 ,"Just, 4th Ct App, Pl 2" ,"NP" ,10 ,"Baldemar Garza" ,"NP" ,"Election Day OS" ,0 ,
"101" ,340 ,"Just, 4th Ct App, Pl 2" ,"NP" ,10 ,"Baldemar Garza" ,"NP" ,"Early Voting" ,0 ,
"101" ,340 ,"Just, 4th Ct App, Pl 2" ,"NP" ,10 ,"Baldemar Garza" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,340 ,"Just, 4th Ct App, Pl 2" ,"NP" ,10 ,"Baldemar Garza" ,"NP" ,"Early Voting" ,6 ,
"101" ,340 ,"Just, 4th Ct App, Pl 2" ,"NP" ,10 ,"Baldemar Garza" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,340 ,"Just, 4th Ct App, Pl 2" ,"NP" ,10 ,"Baldemar Garza" ,"NP" ,"Total" ,17 ,
"101" ,380 ,"Just, 4th Ct App, Pl 3" ,"NP" ,10 ,"Patricia Alvarez" ,"NP" ,"Election Day TS" ,11 ,
"101" ,380 ,"Just, 4th Ct App, Pl 3" ,"NP" ,10 ,"Patricia Alvarez" ,"NP" ,"Election Day OS" ,0 ,
"101" ,380 ,"Just, 4th Ct App, Pl 3" ,"NP" ,10 ,"Patricia Alvarez" ,"NP" ,"Early Voting" ,0 ,
"101" ,380 ,"Just, 4th Ct App, Pl 3" ,"NP" ,10 ,"Patricia Alvarez" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,380 ,"Just, 4th Ct App, Pl 3" ,"NP" ,10 ,"Patricia Alvarez" ,"NP" ,"Early Voting" ,6 ,
"101" ,380 ,"Just, 4th Ct App, Pl 3" ,"NP" ,10 ,"Patricia Alvarez" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,380 ,"Just, 4th Ct App, Pl 3" ,"NP" ,10 ,"Patricia Alvarez" ,"NP" ,"Total" ,17 ,
"101" ,381 ,"Just,4th Ct App, Pl 4" ,"NP" ,10 ,"Luz Elena Chapa" ,"NP" ,"Election Day TS" ,12 ,
"101" ,381 ,"Just,4th Ct App, Pl 4" ,"NP" ,10 ,"Luz Elena Chapa" ,"NP" ,"Election Day OS" ,0 ,
"101" ,381 ,"Just,4th Ct App, Pl 4" ,"NP" ,10 ,"Luz Elena Chapa" ,"NP" ,"Early Voting" ,0 ,
"101" ,381 ,"Just,4th Ct App, Pl 4" ,"NP" ,10 ,"Luz Elena Chapa" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,381 ,"Just,4th Ct App, Pl 4" ,"NP" ,10 ,"Luz Elena Chapa" ,"NP" ,"Early Voting" ,6 ,
"101" ,381 ,"Just,4th Ct App, Pl 4" ,"NP" ,10 ,"Luz Elena Chapa" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,381 ,"Just,4th Ct App, Pl 4" ,"NP" ,10 ,"Luz Elena Chapa" ,"NP" ,"Total" ,18 ,
"101" ,382 ,"Just, 4th Ct App, Pl. 5" ,"NP" ,10 ,"David D.Towler" ,"NP" ,"Election Day TS" ,12 ,
"101" ,382 ,"Just, 4th Ct App, Pl. 5" ,"NP" ,10 ,"David D.Towler" ,"NP" ,"Election Day OS" ,0 ,
"101" ,382 ,"Just, 4th Ct App, Pl. 5" ,"NP" ,10 ,"David D.Towler" ,"NP" ,"Early Voting" ,0 ,
"101" ,382 ,"Just, 4th Ct App, Pl. 5" ,"NP" ,10 ,"David D.Towler" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,382 ,"Just, 4th Ct App, Pl. 5" ,"NP" ,10 ,"David D.Towler" ,"NP" ,"Early Voting" ,6 ,
"101" ,382 ,"Just, 4th Ct App, Pl. 5" ,"NP" ,10 ,"David D.Towler" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,382 ,"Just, 4th Ct App, Pl. 5" ,"NP" ,10 ,"David D.Towler" ,"NP" ,"Total" ,18 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,10 ,"Rebecca C. Martinez" ,"NP" ,"Election Day TS" ,8 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,10 ,"Rebecca C. Martinez" ,"NP" ,"Election Day OS" ,0 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,10 ,"Rebecca C. Martinez" ,"NP" ,"Early Voting" ,0 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,10 ,"Rebecca C. Martinez" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,10 ,"Rebecca C. Martinez" ,"NP" ,"Early Voting" ,4 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,10 ,"Rebecca C. Martinez" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,10 ,"Rebecca C. Martinez" ,"NP" ,"Total" ,12 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,20 ,"Carmen A. Samaniego" ,"NP" ,"Election Day TS" ,5 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,20 ,"Carmen A. Samaniego" ,"NP" ,"Election Day OS" ,0 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,20 ,"Carmen A. Samaniego" ,"NP" ,"Early Voting" ,0 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,20 ,"Carmen A. Samaniego" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,20 ,"Carmen A. Samaniego" ,"NP" ,"Early Voting" ,2 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,20 ,"Carmen A. Samaniego" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,384 ,"Just, 4th Ct App, Pl 7" ,"NP" ,20 ,"Carmen A. Samaniego" ,"NP" ,"Total" ,7 ,
"101" ,480 ,"County Chairman" ,"NP" ,10 ,"Duane McCune" ,"NP" ,"Election Day TS" ,12 ,
"101" ,480 ,"County Chairman" ,"NP" ,10 ,"Duane McCune" ,"NP" ,"Election Day OS" ,0 ,
"101" ,480 ,"County Chairman" ,"NP" ,10 ,"Duane McCune" ,"NP" ,"Early Voting" ,0 ,
"101" ,480 ,"County Chairman" ,"NP" ,10 ,"Duane McCune" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,480 ,"County Chairman" ,"NP" ,10 ,"Duane McCune" ,"NP" ,"Early Voting" ,6 ,
"101" ,480 ,"County Chairman" ,"NP" ,10 ,"Duane McCune" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,480 ,"County Chairman" ,"NP" ,10 ,"Duane McCune" ,"NP" ,"Total" ,18 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,10 ,"FOR" ,"NP" ,"Election Day TS" ,14 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,10 ,"FOR" ,"NP" ,"Election Day OS" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,10 ,"FOR" ,"NP" ,"Early Voting" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,10 ,"FOR" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,10 ,"FOR" ,"NP" ,"Early Voting" ,6 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,10 ,"FOR" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,10 ,"FOR" ,"NP" ,"Total" ,20 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Election Day TS" ,2 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Election Day OS" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Early Voting" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Early Voting" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,490 ,"PROP 1-In State Tuition" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Total" ,2 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,10 ,"FOR" ,"NP" ,"Election Day TS" ,15 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,10 ,"FOR" ,"NP" ,"Election Day OS" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,10 ,"FOR" ,"NP" ,"Early Voting" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,10 ,"FOR" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,10 ,"FOR" ,"NP" ,"Early Voting" ,5 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,10 ,"FOR" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,10 ,"FOR" ,"NP" ,"Total" ,20 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Election Day TS" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Election Day OS" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Early Voting" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Early Voting" ,1 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,500 ,"PROP 2-College Funding" ,"NP" ,20 ,"AGAINST" ,"NP" ,"Total" ,1 ,
"101" ,510 ,"PROP 3-Casino Gambling" ,"NP" ,10 ,"FOR" ,"NP" ,"Election Day TS" ,7 ,
