Political_subdivision,Election_date,Election_name,Total Prov Ballots,Total Prov Counted,Precinct_number,Reg_Voters,Race_name,Candidate_name,Party_code,Early_Votes,Election_votes
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,Lupe Valdez,DEM,22,68
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,Joe Mumbach,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,Tom Wakely,DEM,0,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,Andrew White,DEM,7,5
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,Grady Yarbrough,DEM,8,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,James Jolly Clark,DEM,1,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,Jeffrey Payne,DEM,3,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Lieutenant Governor,Mike Collier,DEM,26,41
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Lieutenant Governor,Michael Cooper,DEM,20,54
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Attorney General,Justin Nelson,DEM,41,88
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Comptroller of Public Accounts,Joi Chevalier,DEM,16,34
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Comptroller of Public Accounts,Tim Mahoney,DEM,26,57
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Commissioner of the General Land Office,Miguel Suazo,DEM,38,81
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Commissioner of the General Land Office,Tex Morgan,DEM,8,19
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Commissioner of Agriculture,Kim Olson,DEM,39,92
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Railroad Commissioner,Roman McAllen,DEM,31,61
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Railroad Commissioner,Chris Spellmon,DEM,13,27
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,40,86
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,37,83
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,38,83
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,39,90
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,39,83
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Member, State Board of Education, District No. 2",Michelle Arévalo Dávila,DEM,26,42
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Member, State Board of Education, District No. 2","Ruben Cortez, Jr.",DEM,22,54
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"State Representative,
District No. 43",Dee Ann Torres Miller,DEM,40,85
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Chief Justice, 13th Court of Appeals District",Ray Thomas,DEM,6,27
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Chief Justice, 13th Court of Appeals District",Dori Contreras,DEM,38,68
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Justice, 13th Court of Appeals District, Place No. 2",Nora Longoria,DEM,40,86
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Justice, 13th Court of Appeals District, Place No. 4",Rudy Delgado,DEM,41,83
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Justice, 13th Court of Appeals District, Place No. 5",Gina Benavides,DEM,40,84
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,County Clerk,Gracie Alaniz-Gonzales,DEM,44,84
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"Justice of the Peace,
Precinct No. 2","Daniel ""Danny"" Garza",DEM,45,89
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #1,Yes,DEM,45,94
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #1,No,DEM,1,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #2,Yes,DEM,45,95
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #2,No,DEM,2,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #3,Yes,DEM,46,94
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #3,No,DEM,2,5
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #4,Yes,DEM,45,96
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #4,No,DEM,1,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #5,Yes,DEM,45,90
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #5,No,DEM,1,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #6,Yes,DEM,48,96
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #6,No,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #7,Yes,DEM,44,96
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #7,No,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #8,Yes,DEM,43,89
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #8,No,DEM,3,10
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #9,Yes,DEM,44,90
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #9,No,DEM,1,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #10,Yes,DEM,44,92
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #10,No,DEM,1,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #11,Yes,DEM,44,90
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #11,No,DEM,2,9
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #12,Yes,DEM,47,96
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Proposition #12,No,DEM,0,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,United States Senator,Beto O'Rourke,DEM,1,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,United States Senator,Edward Kimbrough,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,United States Senator,Sema Hernandez,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"United States Representative, District No. 27",Ronnie McDonald,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"United States Representative, District No. 27",Raul (Roy) Barrera,DEM,0,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"United States Representative, District No. 27",Vanessa Edwards Foster,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"United States Representative, District No. 27",Eric Holguin,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,"Cedric Davis, Sr.",DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,Adrian Ocegueda,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,Lupe Valdez,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,Joe Mumbach,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,Tom Wakely,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,Andrew White,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,Grady Yarbrough,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,James Jolly Clark,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Governor,Jeffrey Payne,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Lieutenant Governor,Mike Collier,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Lieutenant Governor,Michael Cooper,DEM,0,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Attorney General,Justin Nelson,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Comptroller of Public Accounts,Joi Chevalier,DEM,0,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Comptroller of Public Accounts,Tim Mahoney,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Commissioner of the General Land Office,Miguel Suazo,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Commissioner of the General Land Office,Tex Morgan,DEM,1,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Commissioner of Agriculture,Kim Olson,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Railroad Commissioner,Roman McAllen,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Railroad Commissioner,Chris Spellmon,DEM,0,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,0,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,0,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Member, State Board of Education, District No. 2",Michelle Arévalo Dávila,DEM,1,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Member, State Board of Education, District No. 2","Ruben Cortez, Jr.",DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"State Representative,
District No. 43",Dee Ann Torres Miller,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Chief Justice, 13th Court of Appeals District",Ray Thomas,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Chief Justice, 13th Court of Appeals District",Dori Contreras,DEM,1,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Justice, 13th Court of Appeals District, Place No. 2",Nora Longoria,DEM,1,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Justice, 13th Court of Appeals District, Place No. 4",Rudy Delgado,DEM,0,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Justice, 13th Court of Appeals District, Place No. 5",Gina Benavides,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,County Clerk,Gracie Alaniz-Gonzales,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Justice of the Peace,
Precinct No. 5",Nere Villarreal,DEM,0,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,"Constable, Precinct No. 5
Unexpired Term",Valde Ramirez,DEM,0,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #1,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #1,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #2,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #2,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #3,Yes,DEM,1,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #3,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #4,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #4,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #5,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #5,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #6,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #6,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #7,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #7,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #8,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #8,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #9,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #9,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #10,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #10,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #11,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #11,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #12,Yes,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,103,406,Proposition #12,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,United States Senator,Beto O'Rourke,DEM,49,14
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,United States Senator,Edward Kimbrough,DEM,13,11
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,United States Senator,Sema Hernandez,DEM,40,27
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,"United States Representative, District No. 34",Filemon B. Vela,DEM,91,49
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,"Cedric Davis, Sr.",DEM,6,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,Adrian Ocegueda,DEM,8,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,Lupe Valdez,DEM,43,23
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,Joe Mumbach,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,Tom Wakely,DEM,2,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,Andrew White,DEM,26,5
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,Grady Yarbrough,DEM,7,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,James Jolly Clark,DEM,2,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Governor,Jeffrey Payne,DEM,2,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Lieutenant Governor,Mike Collier,DEM,27,22
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Lieutenant Governor,Michael Cooper,DEM,38,24
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Attorney General,Justin Nelson,DEM,63,45
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Comptroller of Public Accounts,Joi Chevalier,DEM,21,13
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Comptroller of Public Accounts,Tim Mahoney,DEM,44,35
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Commissioner of the General Land Office,Miguel Suazo,DEM,51,42
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Commissioner of the General Land Office,Tex Morgan,DEM,19,8
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Commissioner of Agriculture,Kim Olson,DEM,60,45
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Railroad Commissioner,Roman McAllen,DEM,42,31
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,Railroad Commissioner,Chris Spellmon,DEM,22,13
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,62,41
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,59,39
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,58,38
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,63,42
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,59,43
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,104,1469,"Member, State Board of Education, District No. 2",Michelle Arévalo Dávila,DEM,33,23
