	P	ection				
Total .  .  .  .  .  .  .  .  .  .	240	12	146	158	0	82
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	30	1	20	21	0	9
				0		
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Jason Huddleston .  .  .  .  .  .  .  .  .	69	7	42	49	0	20
Richard Beyea .  .  .  .  .  .  .  .  .  .	36	2	21	23	0	13
Ken King.  .  .  .  .  .  .  .  .  .  .  .	134	2	82	84	0	50
Total .  .  .  .  .  .  .  .  .  .	239	11	145	156	0	83
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	31	2	21	23	0	8
				0		
				0		
				0		
				0		
				0		
0001 PRECINCT 101				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Sema Hernandez.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Beto O'Rourke .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Edward Kimbrough .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Miguel Levario.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Governor				0		
Vote for  1				0		
"Cedric Davis, Sr..  .  .  .  .  .  .  .  ."	0	0	0	0	0	0
Lupe Valdez.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Jeffrey Payne .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Andrew White  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Joe Mumbach.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Grady Yarbrough  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tom Wakely .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Adrian Ocegueda  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
James Jolly Clark.  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Mike Collier  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Michael Cooper.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Justin Nelson .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Joi Chevalier .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tim Mahoney.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
0001 PRECINCT 101				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Miguel Suazo  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tex Morgan .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Kim Olson  .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Roman McAllen .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Chris Spellmon.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Steven Kirkland  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
R.K. Sandill  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Kathy Cheng.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
Maria T. (Terri) Jackson  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Ramona Franklin  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
0001 PRECINCT 101				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Ezekiel Barron.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
				0		
				0		
				0		
				0		
				0		
				0		
0002 PRECINCT 202				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
REGISTERED VOTERS - TOTAL .  .  .  .  .  .	"1,098"			0		
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .	297	20	165	185	0	112
BALLOTS CAST - REPUBLICAN PARTY .  .  .  .	297	20	165	185	0	112
BALLOTS CAST - DEMOCRATIC PARTY .  .  .  .	0	0	0	0	0	0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .				0		
0002 PRECINCT 202				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Ted Cruz.  .  .  .  .  .  .  .  .  .  .  .	257	15	137	152	0	105
Geraldine Sam .  .  .  .  .  .  .  .  .  .	4	0	2	2	0	2
"Bruce Jacobson, Jr. .  .  .  .  .  .  .  ."	7	2	5	7	0	0
Stefano de Stefano  .  .  .  .  .  .  .  .	4	0	4	4	0	0
Mary Miller.  .  .  .  .  .  .  .  .  .  .	2	1	0	1	0	1
Total .  .  .  .  .  .  .  .  .  .	274	18	148	166	0	108
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	23	2	17	19	0	4
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Jodey Arrington  .  .  .  .  .  .  .  .  .	239	18	132	150	0	89
Total .  .  .  .  .  .  .  .  .  .	239	18	132	150	0	89
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	58	2	33	35	0	23
				0		
				0		
Governor				0		
Vote for  1				0		
Greg Abbott.  .  .  .  .  .  .  .  .  .  .	228	15	114	129	0	99
SECEDE Kilgore.  .  .  .  .  .  .  .  .  .	10	1	5	6	0	4
Barbara Krueger  .  .  .  .  .  .  .  .  .	17	2	13	15	0	2
Total .  .  .  .  .  .  .  .  .  .	255	18	132	150	0	105
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	42	2	33	35	0	7
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Scott Milder  .  .  .  .  .  .  .  .  .  .	117	7	79	86	0	31
Dan Patrick.  .  .  .  .  .  .  .  .  .  .	146	11	68	79	0	67
Total .  .  .  .  .  .  .  .  .  .	263	18	147	165	0	98
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	34	2	18	20	0	14
				0		
				0		
Attorney General				0		
Vote for  1				0		
Ken Paxton .  .  .  .  .  .  .  .  .  .  .	219	14	115	129	0	90
Total .  .  .  .  .  .  .  .  .  .	219	14	115	129	0	90
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	78	6	50	56	0	22
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Glenn Hegar.  .  .  .  .  .  .  .  .  .  .	212	14	113	127	0	85
Total .  .  .  .  .  .  .  .  .  .	212	14	113	127	0	85
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	85	6	52	58	0	27
				0		
0002 PRECINCT 202				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Davey Edwards .  .  .  .  .  .  .  .  .  .	20	2	12	14	0	6
Jerry Patterson  .  .  .  .  .  .  .  .  .	58	6	29	35	0	23
Rick Range .  .  .  .  .  .  .  .  .  .  .	11	1	3	4	0	7
George P. Bush.  .  .  .  .  .  .  .  .  .	164	8	94	102	0	62
Total .  .  .  .  .  .  .  .  .  .	253	17	138	155	0	98
Over Votes .  .  .  .  .  .  .  .  .  .	1	0	0	0	0	1
Under Votes .  .  .  .  .  .  .  .  .  .	43	3	27	30	0	13
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Sid Miller .  .  .  .  .  .  .  .  .  .  .	143	8	81	89	0	54
Jim Hogan  .  .  .  .  .  .  .  .  .  .  .	60	4	33	37	0	23
Trey Blocker  .  .  .  .  .  .  .  .  .  .	39	4	19	23	0	16
Total .  .  .  .  .  .  .  .  .  .	242	16	133	149	0	93
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	55	4	32	36	0	19
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Weston Martinez  .  .  .  .  .  .  .  .  .	92	5	56	61	0	31
Christi Craddick .  .  .  .  .  .  .  .  .	149	9	78	87	0	62
Total .  .  .  .  .  .  .  .  .  .	241	14	134	148	0	93
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	56	6	31	37	0	19
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Jimmy Blacklock  .  .  .  .  .  .  .  .  .	214	14	117	131	0	83
Total .  .  .  .  .  .  .  .  .  .	214	14	117	131	0	83
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	83	6	48	54	0	29
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
John Devine.  .  .  .  .  .  .  .  .  .  .	209	13	116	129	0	80
Total .  .  .  .  .  .  .  .  .  .	209	13	116	129	0	80
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	88	7	49	56	0	32
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Jeff Brown .  .  .  .  .  .  .  .  .  .  .	209	13	114	127	0	82
Total .  .  .  .  .  .  .  .  .  .	209	13	114	127	0	82
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	88	7	51	58	0	30
				0		
0002 PRECINCT 202				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
David Bridges .  .  .  .  .  .  .  .  .  .	148	8	87	95	0	53
Sharon Keller .  .  .  .  .  .  .  .  .  .	83	8	40	48	0	35
Total .  .  .  .  .  .  .  .  .  .	231	16	127	143	0	88
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	66	4	38	42	0	24
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Barbara Parker Hervey  .  .  .  .  .  .  .	209	14	113	127	0	82
Total .  .  .  .  .  .  .  .  .  .	209	14	113	127	0	82
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	88	6	52	58	0	30
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 8"				0		
Vote for  1				0		
Michelle Slaughter  .  .  .  .  .  .  .  .	105	9	55	64	0	41
Jay Brandon.  .  .  .  .  .  .  .  .  .  .	88	4	49	53	0	35
Dib Waldrip.  .  .  .  .  .  .  .  .  .  .	24	1	13	14	0	10
Total .  .  .  .  .  .  .  .  .  .	217	14	117	131	0	86
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	80	6	48	54	0	26
				0		
				0		
"State Senator, District 31"				0		
Vote for  1				0		
Victor Leal.  .  .  .  .  .  .  .  .  .  .	25	2	13	15	0	10
Mike Canon .  .  .  .  .  .  .  .  .  .  .	81	4	39	43	0	38
Kel Seliger.  .  .  .  .  .  .  .  .  .  .	155	11	94	105	0	50
Total .  .  .  .  .  .  .  .  .  .	261	17	146	163	0	98
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	36	3	19	22	0	14
				0		
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Jason Huddleston .  .  .  .  .  .  .  .  .	75	8	29	37	0	38
Richard Beyea .  .  .  .  .  .  .  .  .  .	30	2	20	22	0	8
Ken King.  .  .  .  .  .  .  .  .  .  .  .	166	9	100	109	0	57
Total .  .  .  .  .  .  .  .  .  .	271	19	149	168	0	103
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	26	1	16	17	0	9
				0		
				0		
				0		
				0		
				0		
				0		
0002 PRECINCT 202				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Sema Hernandez.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Beto O'Rourke .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Edward Kimbrough .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Miguel Levario.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Governor				0		
Vote for  1				0		
"Cedric Davis, Sr..  .  .  .  .  .  .  .  ."	0	0	0	0	0	0
Lupe Valdez.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Jeffrey Payne .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Andrew White  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Joe Mumbach.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Grady Yarbrough  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tom Wakely .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Adrian Ocegueda  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
James Jolly Clark.  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Mike Collier  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Michael Cooper.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Justin Nelson .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Joi Chevalier .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tim Mahoney.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
0002 PRECINCT 202				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Miguel Suazo  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tex Morgan .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Kim Olson  .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Roman McAllen .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Chris Spellmon.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Steven Kirkland  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
R.K. Sandill  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
