,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARMSTRONG COUNTY, TEXAS
MAY 6, 2018",Precinct Total Votes,FEDERAL,US SENATOR,"BRUCE JACOBSON, JR",MARY MILLER,TED CRUZ,Stefano de Stefano,GERALDINE SAM,Undervote,Race Total,"U. S.  Representative, District 13",MAC THORNBERRY,Undervote,Race Total,STATE,Governor,GREG ABBOTT,SECEDE KILGORE,BARBARA KRUEGER,Undervote,Race Total,Lieutenant Governor,DAN PATRICK,SCOTT MILDER,Undervote,Race Total,Attorney General,KEN PAXTON,Undervote,Race Total,COMPTOLLER OF PUBLIC ACCOUNTS,GLEN HEGAR,Undervote,Race Total,COMMISSIONER OF THE GENRAL LAND OFFICE ,JERRY PATTERSON,DAVEY EDWARD,RICK RANGE,GEORGE P BUSH ,Undervote,Race Total,COMMISSIONER OF AGRICULTURE,JIM HOGAN,TREY BLOCKER,SID MILLER,Undervote,Race Total,RAILROAD COMMISSIONER ,WESTON MARTINEZ,CHRISTI CRADDICK,Undervote,Race Total,"Justice, Supreme Court, Place 2",JIMMY BLACKLOCK,Undervote,Race Total,"JUSTICE SUPREME COURT, PLACE 4",JOHN DEVINE,Undervote,Race Total,"Justice, Supreme Court, Place 6",JEFF BROWN,Undervote,Race Total,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",DAVID BRIDGES,SHARON KELLER,Undervote,Race Total,"Judge, Court of Criminal Appeals, Place 7",BARBARA PARKER HERVEY,Undervote,Race Total,"Judge, Court of criminal Appeals Place 8",JAY BRANDON,DIP WALDRIP,MICHELLE SLAUGHTER,Undervote,Race Total,STATE SENATOR DISTRICT 31,VICTOR LEAL,MIKE CANNON,KEL SELIGER,Undervote,Race Total,"State Representative, District 88",KEN KING,RICHARD BEYEA,JASON HUDDLESTON,Undervote,Race Total,"Justice, 7th Court of Appeals District, Place 2",JUDY PARKER,Undervote,Race Total,"Justice, 7th Court of Appeals District, Place 3",PAT PIRTLE,Undervote,Race Total,"District jUDGE, 47th Judicial District",DAN L SCHAAP,Undervote,Race Total,COUNTY,COUNTY JUDGE,MARTHA JO ROBERTS,HUGH REED,Undervote,Race Total,COUNTY & DISTRICT CLERK,TAWNEE IRENE BLODGETT,Undervote,Race Total,COUNTY TREASURER,SUSAN OVERCAST MCGRATH,JULIE EDWARDS,Undervote,Race Total,County Tax Assessor Collector,SHANE RIEKEN ,JAMIE CRAIG,Undervote,Race Total,"County Commissionner, Precinct No. 2",DUSTIN SANDERS,JODY EDWARDS,PHILLIP A CAUDILL,PARKER STEWART,Undervote,Race Total,"County Commissionner, Precinct No. 4",MIKE OLLINGER,TOMMY LINDLEY,PHIL FLETCHER,Undervote,Race Total,JUSTICE OF THE PEACE ,DIANNE STAVENHAGEN SAMANIEGO,DARRELL S PHILLEY,Undervote,Race Total,REFERENDUMS,,Proposition 1 Yes,1 No,Undervote,Race Total,Proposition 2 Yes,2 No,Undervote,Race Total,Proposition 3 Yes,3 No,Undervote,Race Total,Proposition 4 Yes,4 No,Undervote,Race Total,Propostition 5 Yes,5 No,Undervote,Race Total,Proposition 6 Yes,6 No,Undervote,Race Total,Proposition 7 Yes,7 No,Undervote,Race Total,Proposition 8 Yes,8 No,Undervote,Race Total,Proposition 9 Yes,9 No,Undervote,Race Total,Proposition 10 Yes,10 No,Undervote,Race Total,Proposition 11 Yes,11 No,Undervote,Race Total,,
Total Votes,261,,,11,13,215,3,4,15,261,,222,39,261,,,226,7,13,15,261,,167,71,23,261,,195,66,261,,180,81,261,,57,28,17,123,36,261,,45,56,105,55,261,,65,132,64,261,,173,88,261,,171,90,261,,176,85,261,,116,74,71,261,,164,97,261,,88,35,59,79,261,,85,46,122,8,261,,148,38,49,26,261,,169,92,261,,172,89,261,,180,81,261,,,80,179,2,261,,198,63,261,,192,61,8,261,,96,147,18,261,,27,13,8,9,2,59,,36,17,17,0,70,,132,123,6,261,,,152,87,22,261,234,20,7,261,221,20,20,261,227,18,16,261,165,78,18,261,235,10,16,261,178,60,23,261,242,7,12,261,236,14,11,261,223,23,15,261,215,31,15,261,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct 101,78,,,2,5,69,0,0,2,78,,65,13,78,,,71,3,1,3,78,,55,20,3,78,,70,8,78,,65,13,78,,10,9,8,43,8,78,,18,13,36,11,78,,39,25,14,78,,64,14,78,,63,15,78,,61,17,78,,40,24,14,78,,56,22,78,,28,6,24,20,78,,23,26,26,3,78,,36,10,28,4,78,,58,20,78,,59,19,78,,58,20,78,,,27,51,0,78,,61,17,78,,47,29,2,78,,27,45,6,78,,,,,,,0,,,,,,0,,39,38,1,78,,,49,21,8,78,69,5,4,78,59,11,8,78,62,8,8,78,57,13,8,78,71,1,6,78,63,10,5,78,72,1,5,78,71,3,4,78,67,6,5,78,64,8,6,78,,
Precinct 201 ,43,,,0,2,38,0,0,3,43,,37,6,43,,,34,2,5,2,43,,29,8,6,43,,32,11,43,,28,15,43,,8,0,2,25,8,43,,11,9,12,11,43,,13,15,15,43,,25,18,43,,27,16,43,,26,17,43,,16,10,17,43,,25,18,43,,15,4,7,17,43,,17,7,16,3,43,,20,4,11,8,43,,23,20,43,,25,18,43,,25,18,43,,,19,20,4,43,,32,11,43,,25,15,3,43,,10,25,8,43,,17,11,12,1,2,43,,,,,,0,,21,19,3,43,,,21,13,9,43,38,3,2,43,30,6,7,43,40,1,2,43,28,12,3,43,40,1,2,43,30,8,5,43,41,0,2,43,37,4,2,43,36,3,4,43,36,5,2,43,,
Precinct 202,24,,,0,1,17,0,2,4,24,,19,5,24,,,20,0,1,3,24,,15,4,5,24,,16,8,24,,16,8,24,,6,0,2,10,6,24,,5,2,11,6,24,,8,8,8,24,,14,10,24,,14,10,24,,14,10,24,,16,1,7,24,,13,11,24,,6,3,7,8,24,,7,5,12,0,24,,11,6,4,3,24,,13,11,24,,12,12,24,,11,13,24,,,9,14,1,24,,13,11,24,,13,7,4,24,,6,13,5,24,,14,4,0,6,0,24,,,,,,0,,13,9,2,24,,,6,13,5,24,19,2,3,24,14,6,4,24,15,5,4,24,15,5,4,24,19,2,3,24,13,8,3,24,20,0,4,24,17,4,3,24,12,8,4,24,20,2,2,24,,
Precinct 301 ,73,,,3,2,61,0,1,6,73,,54,19,73,,,63,2,2,6,73,,48,14,11,73,,55,18,73,,52,21,73,,18,4,5,36,10,73,,18,12,29,14,73,,17,37,19,73,,51,22,73,,51,22,73,,51,22,73,,39,10,24,73,,45,28,73,,24,13,11,25,73,,26,21,25,1,73,,28,9,27,9,73,,49,24,73,,54,19,73,,51,22,73,,,26,46,1,73,,49,24,73,,42,26,5,73,,20,44,9,73,,,,,,,0,,,,,,0,,36,30,7,73,,,42,20,11,73,64,4,5,73,60,8,5,73,63,5,5,73,46,23,4,73,66,4,3,73,56,14,3,73,68,2,3,73,64,6,3,73,60,5,8,73,61,8,4,73,,
Precinct 303,19,,,1,0,17,1,0,0,19,,16,3,19,,,14,1,2,2,19,,12,6,1,19,,14,5,19,,12,7,19,,7,0,1,8,3,19,,4,1,11,3,19,,1,12,6,19,,11,8,19,,11,8,19,,11,8,19,,8,5,6,19,,10,9,19,,2,4,7,6,19,,4,4,9,2,19,,6,2,8,3,19,,10,9,19,,10,9,19,,12,7,19,,,10,6,3,19,,11,8,19,,9,5,5,19,,5,7,7,19,,,,,,,0,,,,,,0,,3,11,5,19,,,6,10,3,19,16,2,1,19,12,4,3,19,17,2,0,19,13,6,0,19,16,2,1,19,15,4,0,19,16,2,1,19,16,3,0,19,13,2,4,19,16,3,0,19,,
Precinct 401,46,,,2,0,37,0,0,7,46,,37,9,46,,,44,0,0,2,46,,31,12,3,46,,38,8,46,,35,11,46,,5,3,2,27,9,46,,10,12,18,6,46,,14,24,8,46,,33,13,46,,33,13,46,,33,13,46,,23,9,14,46,,26,20,46,,11,7,11,17,46,,16,15,15,0,46,,19,16,10,1,46,,28,18,46,,29,17,46,,28,18,46,,,25,21,0,46,,30,16,46,,23,18,5,46,,18,22,6,46,,,,,,,0,,27,4,15,0,46,,18,25,3,46,,,27,12,7,46,38,4,4,46,36,3,7,46,40,3,3,46,34,8,4,46,42,1,3,46,38,5,3,46,41,0,5,46,39,4,3,46,38,2,6,46,37,5,4,46,,
Precinct 402 ,67,,,1,4,57,1,0,4,67,,59,8,67,,,58,3,2,4,67,,44,13,10,67,,52,15,67,,50,17,67,,19,2,6,32,8,67,,19,9,27,12,67,,18,32,17,67,,51,16,67,,51,16,67,,51,16,67,,35,16,16,67,,49,18,67,,27,7,18,15,67,,16,12,36,3,67,,27,15,18,7,67,,49,18,67,,51,16,67,,50,17,67,,,23,41,3,67,,49,18,67,,51,13,3,67,,28,28,11,67,,,,,,,0,,33,9,21,4,67,,36,27,4,67,,,39,22,6,67,58,4,5,67,59,3,5,67,59,3,5,67,49,13,5,67,63,2,2,67,50,15,2,67,60,4,3,67,59,4,4,67,62,0,5,67,58,5,4,67,,
Precinct 404,5,,,0,0,5,0,0,0,5,,5,0,5,,,5,0,0,0,5,,4,0,1,5,,5,0,5,,5,0,5,,2,0,0,3,0,5,,0,0,5,0,5,,1,4,0,5,,5,0,5,,5,0,5,,5,0,5,,2,1,2,5,,4,1,5,,1,0,4,0,5,,0,3,2,0,5,,2,0,3,0,5,,5,0,5,,5,0,5,,5,0,5,,,1,4,0,5,,5,0,5,,2,2,1,5,,2,2,1,5,,,,,,,0,,2,0,3,0,5,,3,2,0,5,,,4,1,0,5,4,1,0,5,4,0,1,5,3,1,1,5,5,0,0,5,4,1,0,5,3,2,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,,
Total Election Day,355,,,9,14,301,2,3,26,355,,292,63,355,,,309,11,13,22,355,,238,77,40,355,,282,73,355,,263,92,355,,75,18,26,184,52,355,,85,58,149,63,355,,111,157,87,355,,254,101,355,,255,100,355,,252,103,355,,179,76,100,355,,228,127,355,,114,44,89,108,355,,109,93,141,12,355,,149,62,109,35,355,,235,120,355,,245,110,355,,240,115,355,,,140,203,12,355,,250,105,355,,212,115,28,355,,116,186,53,355,,31,15,12,7,2,67,,62,13,39,4,118,,169,161,25,355,,,194,112,49,355,306,25,24,355,274,41,40,355,299,28,28,355,247,80,28,355,321,14,20,355,268,66,21,355,323,9,23,355,308,28,19,355,293,26,36,355,297,36,22,355,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballots by Mail,37,,,0,2,34,0,1,0,37,,35,2,37,,,34,1,1,1,37, ,27,9,1,37, ,33,4,37, ,31,6,37,,7,7,3,20,0,37, ,6,12,15,4,37, ,11,21,5,37, ,29,8,37, ,28,9,37, ,27,10,37,,18,13,6,37,,29,8,37, ,15,8,8,6,37,,11,4,21,1,37,,22,9,6,,37,,29,8,37,,29,8,37,,28,9,37,,,7,30,0,37, ,35,2,37, ,26,11,,37, ,15,22,,37,,3,0,2,0,,5,,6,2,2,,10,,18,18,1,37,,,21,12,4,37,30,3,4,37,27,6,4,37,31,2,4,37,21,12,4,37,32,1,4,37,25,8,4,37,32,1,4,37,30,3,4,37,30,3,4,37,31,2,4,37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,653,,,20,29,550,5,8,41,653,,549,104,653,,,569,19,27,38,653,,432,157,64,653,,510,143,653,,474,179,653,,139,53,46,327,88,653,,136,126,269,122,653,,187,310,156,653,,456,197,653,,454,199,653,,455,198,653,,313,163,177,653,,421,232,653,,217,87,156,193,653,,205,143,284,21,653,,319,109,164,61,653,,433,220,653,,446,207,653,,448,205,653,,,227,412,14,653,,483,170,653,,430,187,36,653,,227,355,71,653,,61,28,22,16,4,131,,104,32,58,4,198,,319,302,32,653,,,367,211,75,653,570,48,35,653,522,67,64,653,557,48,48,653,433,170,50,653,588,25,40,653,471,134,48,653,597,17,39,653,574,45,34,653,546,52,55,653,543,69,41,653,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
