Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provisional Ballots Counted,Precinct Number,Race Name,Candidate Name,Party Code,Early Votes,Election Votes
,,,,,,Commissioner of the General Land Office,Overvotes,,,1
,,,,,,Commissioner of the General Land Office,Undervotes,,,37
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of Agriculture,Trey Blocker,,,88
,,,,,,Commissioner of Agriculture,Jim Hogan,,,113
,,,,,,Commissioner of Agriculture,Sid Miller,,,190
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Commissioner of Agriculture,Total ,,,391
,,,,,,Commissioner of Agriculture,Overvotes,,,1
,,,,,,Commissioner of Agriculture,Undervotes,,,75
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Railroad Commissioner,Weston Martinez,,,82
,,,,,,Railroad Commissioner,Christi Craddick,,,319
,,,,,,Railroad Commissioner,,,,
,,,,,,Railroad Commissioner,Total,,,401
,,,,,,Railroad Commissioner,Overvotes,,,3
,,,,,,Railroad Commissioner,Undervotes,,,63
,,,,,,Railroad Commissioner,,,,
,,,,,,Railroad Commissioner,,,,
,,,,,,"Justice, Supreme Court, Place 2",Jimmy Blacklock,,,361
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 2",Total,,,361
,,,,,,"Justice, Supreme Court, Place 2",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 2",Undervotes,,,106
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 4",John Devine,,,375
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 4",Total,,,375
,,,,,,"Justice, Supreme Court, Place 4",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 4",Undervotes,,,92
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 6",Jeff Brown,,,373
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Justice, Supreme Court, Place 6",Total,,,373
,,,,,,"Justice, Supreme Court, Place 6",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 6",Undervotes,,,94
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",David Bridges,,,228
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Sharon Keller,,,150
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Total,,,378
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Overvotes,,,1
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Undervotes,,,88
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Barbara Parker Hervey,,,358
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Total,,,358
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Overvotes,,,0
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Undervotes,,,109
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Jay Brandon,,,163
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Dib Waldrip,,,65
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Michelle Slaughter,,,138
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Total,,,366
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Overvotes,,,0
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Undervotes,,,101
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"State Representative, District 17",John P. Cyrier,,,377
,,,,,,"State Representative, District 17",,,,
,,,,,,"State Representative, District 17",Total,,,377
,,,,,,"State Representative, District 17",Overvotes,,,0
,,,,,,"State Representative, District 17",Undervotes,,,90
,,,,,,"State Representative, District 17",,,,
,,,,,,"State Representative, District 17",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Ernie Aliseda,,,362
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Total,,,362
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Overvotes,,,0
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Undervotes,,,105
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Greg Perkes,,,369
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Total,,,369
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Undervotes,,,98
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Jaime Tijerina,,,363
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Total,,,363
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Undervotes,,,104
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Clarissa Silva,,,362
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Total,,,362
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Undervotes,,,105
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,County Judge,Patrick (Pat) Davis,,,425
,,,,,,County Judge,,,,
,,,,,,County Judge,Total,,,425
,,,,,,County Judge,Overvotes,,,0
,,,,,,County Judge,Undervotes,,,42
,,,,,,County Judge,,,,
,,,,,,County Judge,,,,
,,,,,,Districk Clerk,Janice Sutton,,,407
,,,,,,Districk Clerk,,,,
,,,,,,Districk Clerk,Total,,,407
,,,,,,Districk Clerk,Overvotes,,,0
,,,,,,Districk Clerk,Undervotes,,,60
,,,,,,Districk Clerk,,,,
,,,,,,Districk Clerk,,,,
,,,,,,County Clerk,Lona Ackman,,,406
,,,,,,County Clerk,,,,
,,,,,,County Clerk,Total,,,406
,,,,,,County Clerk,Overvotes,,,0
,,,,,,County Clerk,Undervotes,,,61
,,,,,,County Clerk,,,,
,,,,,,County Clerk,,,,
,,,,,,County Treasurer,Sheryl Barborak,,,267
,,,,,,County Treasurer,Jo Ann Mercer,,,181
,,,,,,County Treasurer,,,,
,,,,,,County Treasurer,Total,,,448
,,,,,,County Treasurer,Overvotes,,,1
,,,,,,County Treasurer,Undervotes,,,18
,,,,,,County Treasurer,,,,
,,,,,,County Treasurer,,,,
,,,,,,County Surveyor,Seth M. Fullilove,,,405
,,,,,,County Surveyor,,,,
,,,,,,County Surveyor,Total,,,405
,,,,,,County Surveyor,Overvotes,,,0
,,,,,,County Surveyor,Undervotes,,,62
,,,,,,County Surveyor,,,,
,,,,,,County Surveyor,,,,
,,,,,,"Justice of the Peace, Precinct No. 1",Deidra D. Voigt,,,403
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,"Justice of the Peace, Precinct No. 1",Total,,,403
,,,,,,"Justice of the Peace, Precinct No. 1",Overvotes,,,0
,,,,,,"Justice of the Peace, Precinct No. 1",Undervotes,,,64
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,County Chairman,Richard A. Green Sr.,,,357
,,,,,,County Chairman,,,,
,,,,,,County Chairman,Total,,,357
,,,,,,County Chairman,Overvotes,,,0
,,,,,,County Chairman,Undervotes,,,110
,,,,,,County Chairman,,,,
,,,,,,County Chairman,,,,
,,,,,,Proposition 1 Rep,Yes,,,320
,,,,,,Proposition 1 Rep,No,,,97
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 1 Rep,Total ,,,417
,,,,,,Proposition 1 Rep,Overvotes,,,0
,,,,,,Proposition 1 Rep,Undervotes,,,50
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 2 Rep,Yes,,,397
,,,,,,Proposition 2 Rep,No,,,40
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 2 Rep,Total ,,,437
,,,,,,Proposition 2 Rep,Overvotes,,,2
,,,,,,Proposition 2 Rep,Undervotes,,,28
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 3 Rep,Yes,,,368
,,,,,,Proposition 3 Rep,No,,,59
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 3 Rep,Total ,,,427
,,,,,,Proposition 3 Rep,Overvotes,,,0
,,,,,,Proposition 3 Rep,Undervotes,,,40
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 4 Rep,Yes,,,390
,,,,,,Proposition 4 Rep,No,,,41
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 4 Rep,Total,,,431
,,,,,,Proposition 4 Rep,Overvotes ,,,0
,,,,,,Proposition 4 Rep,Undervotes,,,36
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 5 Rep,Yes,,,329
,,,,,,Proposition 5 Rep,No,,,107
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 5 Rep,Total,,,436
,,,,,,Proposition 5 Rep,Overvotes,,,1
,,,,,,Proposition 5 Rep,Undervotes,,,30
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 6 Rep,Yes,,,407
,,,,,,Proposition 6 Rep,No,,,28
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 6 Rep,Total,,,435
,,,,,,Proposition 6 Rep,Overvotes,,,1
,,,,,,Proposition 6 Rep,Undervotes,,,31
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 7 Rep,Yes,,,264
,,,,,,Proposition 7 Rep,No,,,150
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 7 Rep,Total,,,414
,,,,,,Proposition 7 Rep,Overvotes,,,3
,,,,,,Proposition 7 Rep,Undervotes,,,50
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 8 Rep,Yes,,,419
,,,,,,Proposition 8 Rep,No,,,20
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 8 Rep,Total,,,439
,,,,,,Proposition 8 Rep,Overvotes,,,0
,,,,,,Proposition 8 Rep,Undervotes,,,28
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 9 Rep,Yes,,,381
,,,,,,Proposition 9 Rep,No,,,52
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 9 Rep,Total,,,433
,,,,,,Proposition 9 Rep,Overvotes,,,0
,,,,,,Proposition 9 Rep,Undervotes,,,34
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 10 Rep,Yes,,,401
,,,,,,Proposition 10 Rep,No,,,30
,,,,,,Proposition 10 Rep,,,,
,,,,,,Proposition 10 Rep,Total,,,431
,,,,,,Proposition 10 Rep,Overvotes,,,0
,,,,,,Proposition 10 Rep,Undervotes,,,36
,,,,,,Proposition 10 Rep,,,,
,,,,,,Proposition 11 Rep,Yes,,,390
,,,,,,Proposition 11 Rep,No,,,48
,,,,,,Proposition 11 Rep,,,,
,,,,,,Proposition 11 Rep,Total,,,438
,,,,,,Proposition 11 Rep,Overvotes,,,1
,,,,,,Proposition 11 Rep,Undervotes,,,28
,,,,,,Proposition 11 Rep,,,,
,,,,,,Proposition 11 Rep,,,,
,,,,,2,United State Senator,Bruce Jacobson Jr.,,,13
,,,,,,United State Senator,Red Cruz,,,193
,,,,,,United State Senator,Mary Miller,,,11
,,,,,,United State Senator,Stefano De Stefano,,,1
,,,,,,United State Senator,Geraldine Sam,,,1
,,,,,,United State Senator,,,,
,,,,,,United State Senator,Total,,,219
,,,,,,United State Senator,Overvotes,,,0
,,,,,,United State Senator,Undervotes,,,14
,,,,,,United State Senator,,,,
,,,,,,United State Senator,,,,
,,,,,,"US Representative, District 27",Eddie Gassman,,,5
,,,,,,"US Representative, District 27",Jerry Hall,,,15
,,,,,,"US Representative, District 27",Bech Bruun,,,55
,,,,,,"US Representative, District 27",Christopher K. Mapp,,,33
,,,,,,"US Representative, District 27",John Grunwald,,,13
,,,,,,"US Representative, District 27",Michael Cloud,,,87
,,,,,,"US Representative, District 27",,,,
,,,,,,"US Representative, District 27",Total,,,208
,,,,,,"US Representative, District 27",Overvotes,,,0
,,,,,,"US Representative, District 27",Undervotes,,,25
,,,,,,"US Representative, District 27",,,,
,,,,,,"US Representative, District 27",,,,
,,,,,,Governor,Greg Abbott,,,211
,,,,,,Governor,Barbara Krueger,,,16
,,,,,,Governor,SECEDE Kilgore,,,0
,,,,,,Governor,,,,
,,,,,,Governor,Total,,,227
,,,,,,Governor,Overvotes,,,0
,,,,,,Governor,Undervotes,,,6
,,,,,,Governor,,,,
,,,,,,Governor,,,,
,,,,,,Lieutenant Governor,Scott Milder,,,50
,,,,,,Lieutenant Governor,Dan Patrick,,,174
,,,,,,Lieutenant Governor,,,,
,,,,,,Lieutenant Governor,Total,,,224
,,,,,,Lieutenant Governor,Overvotes,,,1
,,,,,,Lieutenant Governor,Undervotes,,,8
,,,,,,Lieutenant Governor,,,,
,,,,,,Lieutenant Governor,,,,
,,,,,,Attorney General,Ken Paxton,,,188
,,,,,,Attorney General,,,,
,,,,,,Attorney General,Total,,,188
,,,,,,Attorney General,Overvotes,,,0
,,,,,,Attorney General,Undervotes,,,45
,,,,,,Attorney General,,,,
,,,,,,Attorney General,,,,
,,,,,,Comptroller of Public Accounts,Glenn Hegar,,,191
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Comptroller of Public Accounts,Total,,,191
,,,,,,Comptroller of Public Accounts,Overvotes,,,0
,,,,,,Comptroller of Public Accounts,Undervotes,,,42
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Commissioner of the General Land Office,George P. Bush,,,131
,,,,,,Commissioner of the General Land Office,Jerry Patterson,,,63
,,,,,,Commissioner of the General Land Office,Rick Range,,,6
,,,,,,Commissioner of the General Land Office,Davey Edwards,,,12
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of the General Land Office,Total,,,212
,,,,,,Commissioner of the General Land Office,Overvotes,,,1
,,,,,,Commissioner of the General Land Office,Undervotes,,,20
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of Agriculture,Trey Blocker,,,44
,,,,,,Commissioner of Agriculture,Jim Hogan,,,45
,,,,,,Commissioner of Agriculture,Sid Miller,,,111
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Commissioner of Agriculture,Total ,,,200
,,,,,,Commissioner of Agriculture,Overvotes,,,0
,,,,,,Commissioner of Agriculture,Undervotes,,,33
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Railroad Commissioner,Weston Martinez,,,37
,,,,,,Railroad Commissioner,Christi Craddick,,,166
,,,,,,Railroad Commissioner,,,,
,,,,,,Railroad Commissioner,Total,,,203
,,,,,,Railroad Commissioner,Overvotes,,,0
,,,,,,Railroad Commissioner,Undervotes,,,30
,,,,,,Railroad Commissioner,,,,
,,,,,,Railroad Commissioner,,,,
,,,,,,"Justice, Supreme Court, Place 2",Jimmy Blacklock,,,176
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 2",Total,,,176
,,,,,,"Justice, Supreme Court, Place 2",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 2",Undervotes,,,57
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 4",John Devine,,,179
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 4",Total,,,179
,,,,,,"Justice, Supreme Court, Place 4",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 4",Undervotes,,,54
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 6",Jeff Brown,,,177
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Justice, Supreme Court, Place 6",Total,,,177
,,,,,,"Justice, Supreme Court, Place 6",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 6",Undervotes,,,56
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",David Bridges,,,111
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Sharon Keller,,,74
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Total,,,185
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Overvotes,,,0
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Undervotes,,,48
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Barbara Parker Hervey,,,176
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Total,,,176
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Overvotes,,,0
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Undervotes,,,57
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Jay Brandon,,,74
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Dib Waldrip,,,33
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Michelle Slaughter,,,77
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Total,,,184
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Overvotes,,,0
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Undervotes,,,49
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"State Representative, District 17",John P. Cyrier,,,185
,,,,,,"State Representative, District 17",,,,
,,,,,,"State Representative, District 17",Total,,,185
,,,,,,"State Representative, District 17",Overvotes,,,0
,,,,,,"State Representative, District 17",Undervotes,,,48
,,,,,,"State Representative, District 17",,,,
,,,,,,"State Representative, District 17",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Ernie Aliseda,,,172
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Total,,,172
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Overvotes,,,0
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Undervotes,,,61
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Greg Perkes,,,178
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Total,,,178
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Undervotes,,,55
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Jaime Tijerina,,,176
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Total,,,176
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Undervotes,,,57
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Clarissa Silva,,,170
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Total,,,170
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Undervotes,,,63
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,County Judge,Patrick (Pat) Davis,,,208
,,,,,,County Judge,,,,
,,,,,,County Judge,Total,,,208
,,,,,,County Judge,Overvotes,,,0
,,,,,,County Judge,Undervotes,,,25
,,,,,,County Judge,,,,
,,,,,,County Judge,,,,
,,,,,,Districk Clerk,Janice Sutton,,,205
,,,,,,Districk Clerk,,,,
,,,,,,Districk Clerk,Total,,,205
,,,,,,Districk Clerk,Overvotes,,,0
,,,,,,Districk Clerk,Undervotes,,,28
,,,,,,Districk Clerk,,,,
,,,,,,Districk Clerk,,,,
,,,,,,County Clerk,Lona Ackman,,,195
,,,,,,County Clerk,,,,
,,,,,,County Clerk,Total,,,195
,,,,,,County Clerk,Overvotes,,,0
,,,,,,County Clerk,Undervotes,,,38
,,,,,,County Clerk,,,,
,,,,,,County Clerk,,,,
,,,,,,County Treasurer,Sheryl Barborak,,,138
,,,,,,County Treasurer,Jo Ann Mercer,,,91
,,,,,,County Treasurer,,,,
,,,,,,County Treasurer,Total,,,229
,,,,,,County Treasurer,Overvotes,,,1
,,,,,,County Treasurer,Undervotes,,,3
,,,,,,County Treasurer,,,,
,,,,,,County Treasurer,,,,
,,,,,,County Surveyor,Seth M. Fullilove,,,200
,,,,,,County Surveyor,,,,
,,,,,,County Surveyor,Total,,,200
,,,,,,County Surveyor,Overvotes,,,0
,,,,,,County Surveyor,Undervotes,,,33
,,,,,,County Surveyor,,,,
,,,,,,County Surveyor,,,,
,,,,,,"County Commissioner, Precinct No. 2",Donnie R. Brzozowski,,,194
,,,,,,"County Commissioner, Precinct No. 2",,,,
,,,,,,"County Commissioner, Precinct No. 2",Total,,,194
,,,,,,"County Commissioner, Precinct No. 2",Overvotes,,,0
,,,,,,"County Commissioner, Precinct No. 2",Undervotes,,,39
,,,,,,"County Commissioner, Precinct No. 2",,,,
,,,,,,"County Commissioner, Precinct No. 2",,,,
,,,,,,"Justice of the Peace, Precinct No. 1",Deidra D. Voigt,,,196
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,"Justice of the Peace, Precinct No. 1",Total,,,196
,,,,,,"Justice of the Peace, Precinct No. 1",Overvotes,,,0
,,,,,,"Justice of the Peace, Precinct No. 1",Undervotes,,,37
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,County Chairman,Richard A. Green Sr.,,,177
,,,,,,County Chairman,,,,
,,,,,,County Chairman,Total,,,177
,,,,,,County Chairman,Overvotes,,,0
,,,,,,County Chairman,Undervotes,,,56
,,,,,,County Chairman,,,,
,,,,,,County Chairman,,,,
,,,,,,Proposition 1 Rep,Yes,,,181
,,,,,,Proposition 1 Rep,No,,,36
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 1 Rep,Total ,,,217
,,,,,,Proposition 1 Rep,Overvotes,,,0
