political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,precinct_name,reg_voters,race_name,candidate_name,early_votes,election_votes
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,,303,2925,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,206,201
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,3,304,4307,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,285,364
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,1,306,3073,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,151,120
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,308,5684,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,210,274
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,2,310,4785,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,335,386
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,312,2221,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,111,120
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,,314,4976,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,212,202
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,1,315,3855,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,299,359
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,316,2763,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,103,138
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,318,847,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,33,58
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,319,2513,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,99,90
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,320,2098,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,98,56
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,11,1,324,5938,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,201,192
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,330,3129,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,139,191
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,333,3040,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,105,289
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,3,334,3100,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,121,179
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,336,2264,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,121,192
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,2,338,5135,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,290,461
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,346,4048,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,143,92
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,2,349,4923,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,333,436
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,359,4960,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,226,262
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,1,360,4411,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,310,406
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,,361,1453,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,92,112
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,365,2249,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,118,175
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,367,5920,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,358,448
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,368,447,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,13,10
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,369,2738,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,51,120
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,2,370,1647,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,19,112
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,371,2568,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,89,125
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,372,2143,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,51,104
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,373,4982,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,134,212
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,1,374,6095,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,155,274
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,375,1000,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,28,53
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,406,3265,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,233,165
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,417,1695,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,132,132
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,212,4429,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",68,45
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,221,1046,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",4,13
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,301,1254,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",29,31
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,302,3220,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",71,67
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,,303,2925,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",74,62
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,3,304,4307,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",86,113
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,1,307,1483,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",32,27
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,308,5684,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",58,100
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,309,2627,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",77,75
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,2,310,4785,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",122,121
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,,314,4976,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",55,68
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,1,315,3855,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",125,125
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,316,2763,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",27,32
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,317,2837,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",50,56
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,318,847,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",9,18
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,11,1,324,5938,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",73,64
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,330,3129,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",44,53
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,332,2825,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",72,132
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,2,338,5135,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",65,124
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,2,339,1835,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",49,53
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,1,340,2836,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",58,97
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,14,2,342,4904,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",175,219
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,344,1883,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",70,68
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,346,4048,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",34,25
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,8,3,347,2885,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",54,56
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,2,349,4923,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",126,121
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,11,4,350,4071,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",156,174
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,,351,1878,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",41,47
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,16,6,352,3574,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",124,104
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,2,354,4467,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",150,77
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,356,2049,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",44,36
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,357,641,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",11,19
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,2,358,4875,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",185,165
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,1,360,4411,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",96,140
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,,361,1453,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",31,33
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,362,2952,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",94,93
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,363,1605,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",39,48
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,4,364,3713,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",73,52
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,365,2249,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",34,57
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,1,366,4844,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",131,134
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,367,5920,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",112,121
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,368,447,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",2,3
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,,408,3437,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",87,131
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,9,2,410,3295,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",89,94
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,411,2058,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",48,65
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,412,132,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",3,5
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,,414,3373,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",91,117
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,415,1299,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",30,51
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,1,416,187,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",3,4
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,419,576,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",20,12
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,1,425,742,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",33,36
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,11,4,430,1640,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",40,59
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,14,4,435,5948,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",194,209
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,10,3,441,4055,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",138,148
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,,446,1139,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",32,48
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,10,2,447,4028,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",116,164
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,2,451,3284,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",108,132
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,8,2,454,2108,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",69,67
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,2,458,3564,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",119,119
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,,460,3572,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",126,119
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,13,,461,4231,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",115,161
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,463,3296,"PRECINCT NO. 3, CONSTABLE - DEM","Anthony ""AJ"" Johnson",108,154
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,2,101,5003,"PRECINCT NO. 1, COUNTY COMMISSIONER - DEM",Arthur Sampson,69,122
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,,102,1086,"PRECINCT NO. 1, COUNTY COMMISSIONER - DEM",Arthur Sampson,11,25
