Contest,Precinct,Choice,Votes,CastTotal,UnderVotes,OverVotes,InvalidVotes,RejectedCategoryName,RejectedWriteInVotes,UnresolvedCategoryName,UnresolvedWriteInVotes,VotingTypeName,BallotsCast,TotalBallotsCast,RegisteredVotes,TurnoutPercentage
United States Senator - REPUBLICAN PARTY,11,"Bruce Jacobson, Jr.",1,82,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,84,377,22.28 %
United States Senator - REPUBLICAN PARTY,11,Geraldine Sam,2,82,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,84,377,22.28 %
United States Senator - REPUBLICAN PARTY,11,Stefano de Stefano,0,82,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,84,377,22.28 %
United States Senator - REPUBLICAN PARTY,11,,,82,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,49,84,377,22.28 %
United States Senator - REPUBLICAN PARTY,11,,,82,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,5,84,377,22.28 %
United States Senator - REPUBLICAN PARTY,11,,,82,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,30,84,377,22.28 %
United States Senator - REPUBLICAN PARTY,12,Mary Miller,8,27,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,28,335,8.36 %
United States Senator - REPUBLICAN PARTY,12,Ted Cruz,16,27,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,28,335,8.36 %
United States Senator - REPUBLICAN PARTY,12,"Bruce Jacobson, Jr.",1,27,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,28,335,8.36 %
United States Senator - REPUBLICAN PARTY,12,Geraldine Sam,0,27,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,28,335,8.36 %
United States Senator - REPUBLICAN PARTY,12,Stefano de Stefano,2,27,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,28,335,8.36 %
United States Senator - REPUBLICAN PARTY,12,,,27,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,24,28,335,8.36 %
United States Senator - REPUBLICAN PARTY,12,,,27,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,28,335,8.36 %
United States Senator - REPUBLICAN PARTY,12,,,27,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,4,28,335,8.36 %
United States Senator - REPUBLICAN PARTY,13,Mary Miller,5,78,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,81,400,20.25 %
United States Senator - REPUBLICAN PARTY,13,Ted Cruz,72,78,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,81,400,20.25 %
United States Senator - REPUBLICAN PARTY,13,"Bruce Jacobson, Jr.",1,78,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,81,400,20.25 %
United States Senator - REPUBLICAN PARTY,13,Geraldine Sam,0,78,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,81,400,20.25 %
United States Senator - REPUBLICAN PARTY,13,Stefano de Stefano,0,78,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,81,400,20.25 %
United States Senator - REPUBLICAN PARTY,13,,,78,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,44,81,400,20.25 %
United States Senator - REPUBLICAN PARTY,13,,,78,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,10,81,400,20.25 %
United States Senator - REPUBLICAN PARTY,13,,,78,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,27,81,400,20.25 %
United States Senator - REPUBLICAN PARTY,14,Mary Miller,11,145,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,150,1009,14.87 %
United States Senator - REPUBLICAN PARTY,14,Ted Cruz,124,145,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,150,1009,14.87 %
United States Senator - REPUBLICAN PARTY,14,"Bruce Jacobson, Jr.",9,145,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,150,1009,14.87 %
United States Senator - REPUBLICAN PARTY,14,Geraldine Sam,0,145,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,150,1009,14.87 %
United States Senator - REPUBLICAN PARTY,14,Stefano de Stefano,1,145,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,150,1009,14.87 %
United States Senator - REPUBLICAN PARTY,14,,,145,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,74,150,1009,14.87 %
United States Senator - REPUBLICAN PARTY,14,,,145,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,17,150,1009,14.87 %
United States Senator - REPUBLICAN PARTY,14,,,145,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,59,150,1009,14.87 %
United States Senator - REPUBLICAN PARTY,15,Mary Miller,10,188,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,198,1163,17.02 %
United States Senator - REPUBLICAN PARTY,15,Ted Cruz,171,188,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,198,1163,17.02 %
United States Senator - REPUBLICAN PARTY,15,"Bruce Jacobson, Jr.",4,188,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,198,1163,17.02 %
United States Senator - REPUBLICAN PARTY,15,Geraldine Sam,3,188,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,198,1163,17.02 %
United States Senator - REPUBLICAN PARTY,15,Stefano de Stefano,0,188,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,198,1163,17.02 %
United States Senator - REPUBLICAN PARTY,15,,,188,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,80,198,1163,17.02 %
United States Senator - REPUBLICAN PARTY,15,,,188,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,20,198,1163,17.02 %
United States Senator - REPUBLICAN PARTY,15,,,188,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,98,198,1163,17.02 %
United States Senator - REPUBLICAN PARTY,16,Mary Miller,84,972,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,1050,4165,25.21 %
United States Senator - REPUBLICAN PARTY,16,Ted Cruz,846,972,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,1050,4165,25.21 %
United States Senator - REPUBLICAN PARTY,16,"Bruce Jacobson, Jr.",21,972,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,1050,4165,25.21 %
United States Senator - REPUBLICAN PARTY,16,Geraldine Sam,6,972,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,1050,4165,25.21 %
United States Senator - REPUBLICAN PARTY,16,Stefano de Stefano,15,972,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,1050,4165,25.21 %
United States Senator - REPUBLICAN PARTY,16,,,972,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,309,1050,4165,25.21 %
United States Senator - REPUBLICAN PARTY,16,,,972,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,113,1050,4165,25.21 %
United States Senator - REPUBLICAN PARTY,16,,,972,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,628,1050,4165,25.21 %
United States Senator - REPUBLICAN PARTY,17,Mary Miller,6,207,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,216,1248,17.31 %
United States Senator - REPUBLICAN PARTY,17,Ted Cruz,191,207,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,216,1248,17.31 %
United States Senator - REPUBLICAN PARTY,17,"Bruce Jacobson, Jr.",6,207,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,216,1248,17.31 %
United States Senator - REPUBLICAN PARTY,17,Geraldine Sam,2,207,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,216,1248,17.31 %
United States Senator - REPUBLICAN PARTY,17,Stefano de Stefano,2,207,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,216,1248,17.31 %
United States Senator - REPUBLICAN PARTY,17,,,207,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,64,216,1248,17.31 %
United States Senator - REPUBLICAN PARTY,17,,,207,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,18,216,1248,17.31 %
United States Senator - REPUBLICAN PARTY,17,,,207,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,134,216,1248,17.31 %
United States Senator - REPUBLICAN PARTY,18,Mary Miller,3,49,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,52,732,7.10 %
United States Senator - REPUBLICAN PARTY,18,Ted Cruz,38,49,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,52,732,7.10 %
United States Senator - REPUBLICAN PARTY,18,"Bruce Jacobson, Jr.",3,49,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,52,732,7.10 %
United States Senator - REPUBLICAN PARTY,18,Geraldine Sam,3,49,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,52,732,7.10 %
United States Senator - REPUBLICAN PARTY,18,Stefano de Stefano,2,49,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,52,732,7.10 %
United States Senator - REPUBLICAN PARTY,18,,,49,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,18,52,732,7.10 %
United States Senator - REPUBLICAN PARTY,18,,,49,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,52,732,7.10 %
United States Senator - REPUBLICAN PARTY,18,,,49,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,33,52,732,7.10 %
United States Senator - REPUBLICAN PARTY,19,Mary Miller,19,222,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,229,5191,4.41 %
United States Senator - REPUBLICAN PARTY,19,Ted Cruz,200,222,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,229,5191,4.41 %
United States Senator - REPUBLICAN PARTY,19,"Bruce Jacobson, Jr.",2,222,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,229,5191,4.41 %
United States Senator - REPUBLICAN PARTY,19,Geraldine Sam,1,222,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,229,5191,4.41 %
United States Senator - REPUBLICAN PARTY,19,Stefano de Stefano,0,222,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,229,5191,4.41 %
United States Senator - REPUBLICAN PARTY,19,,,222,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,86,229,5191,4.41 %
United States Senator - REPUBLICAN PARTY,19,,,222,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,88,229,5191,4.41 %
United States Senator - REPUBLICAN PARTY,19,,,222,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,55,229,5191,4.41 %
United States Senator - REPUBLICAN PARTY,20,Mary Miller,17,218,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,227,5223,4.35 %
United States Senator - REPUBLICAN PARTY,20,Ted Cruz,191,218,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,227,5223,4.35 %
United States Senator - REPUBLICAN PARTY,20,"Bruce Jacobson, Jr.",6,218,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,227,5223,4.35 %
United States Senator - REPUBLICAN PARTY,20,Geraldine Sam,1,218,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,227,5223,4.35 %
United States Senator - REPUBLICAN PARTY,20,Stefano de Stefano,3,218,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,227,5223,4.35 %
United States Senator - REPUBLICAN PARTY,20,,,218,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,88,227,5223,4.35 %
United States Senator - REPUBLICAN PARTY,20,,,218,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,70,227,5223,4.35 %
United States Senator - REPUBLICAN PARTY,20,,,218,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,69,227,5223,4.35 %
United States Senator - REPUBLICAN PARTY,21,Mary Miller,21,228,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,255,1228,20.77 %
United States Senator - REPUBLICAN PARTY,21,Ted Cruz,193,228,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,255,1228,20.77 %
United States Senator - REPUBLICAN PARTY,21,"Bruce Jacobson, Jr.",10,228,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,255,1228,20.77 %
United States Senator - REPUBLICAN PARTY,21,Geraldine Sam,3,228,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,255,1228,20.77 %
United States Senator - REPUBLICAN PARTY,21,Stefano de Stefano,1,228,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,255,1228,20.77 %
United States Senator - REPUBLICAN PARTY,21,,,228,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,53,255,1228,20.77 %
United States Senator - REPUBLICAN PARTY,21,,,228,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,25,255,1228,20.77 %
United States Senator - REPUBLICAN PARTY,21,,,228,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,177,255,1228,20.77 %
"United States Representative, District No. 36 - REPUBLICAN PARTY",1,Brian Babin,62,62,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,71,406,17.49 %
"United States Representative, District No. 36 - REPUBLICAN PARTY",1,,,62,9,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,34,71,406,17.49 %
