Bexar County,May 24 2022 - Democrats,Joint Primary Runoff,Total Provisionals:  24,Total Provisionals Counted:  14,,,,,,,,,
Ballots Cast - Democratic Party,,76,,33,,15,,28,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,8.11%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,39,,56.52%,,17,,5,,,17,,
Mike Collier,,30,,43.48%,,10,,10,,,10,,
Total Votes Cast,,69,,100.00%,,27,,15,,,27,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,6,,0,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,61,,85.92%,,23,,11,,,27,,
Joe Jaworski,,10,,14.08%,,6,,4,,,0,,
Total Votes Cast,,71,,100.00%,,29,,15,,,27,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,4,,0,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,38,,57.58%,,16,,11,,,11,,
Janet T. Dudding,,28,,42.42%,,11,,4,,,13,,
Total Votes Cast,,66,,100.00%,,27,,15,,,24,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,6,,0,,,4,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,46,,67.65%,,21,,9,,,16,,
Jay Kleberg,,22,,32.35%,,8,,6,,,8,,
Total Votes Cast,,68,,100.00%,,29,,15,,,24,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,4,,0,,,4,,
,,,,,,,,,,7,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1004,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,29,,39.19%,,15,,3,,,11,,
Peter Sakai,,45,,60.81%,,17,,12,,,16,,
Total Votes Cast,,74,,100.00%,,32,,15,,,27,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,30,,44.12%,,12,,6,,,12,,
Maria Teresa Garcia,,38,,55.88%,,17,,9,,,12,,
Total Votes Cast,,68,,100.00%,,29,,15,,,24,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,4,,0,,,4,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,30,,46.15%,,12,,6,,,12,,
"Christine ""Chris"" Castillo",,35,,53.85%,,16,,9,,,10,,
Total Votes Cast,,65,,100.00%,,28,,15,,,22,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,5,,0,,,6,,
,,,,,,,,,,8,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1005,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,832,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,58,,28,,7,,23,,,,,
Ballots Cast - Democratic Party,,53,,23,,7,,23,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,6.97%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,36,,70.59%,,17,,6,,,13,,
Mike Collier,,15,,29.41%,,6,,1,,,8,,
Total Votes Cast,,51,,100.00%,,23,,7,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,0,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,43,,81.13%,,20,,5,,,18,,
Joe Jaworski,,10,,18.87%,,3,,2,,,5,,
Total Votes Cast,,53,,100.00%,,23,,7,,,23,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,38,,73.08%,,15,,4,,,19,,
Janet T. Dudding,,14,,26.92%,,8,,3,,,3,,
Total Votes Cast,,52,,100.00%,,23,,7,,,22,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,45,,86.54%,,20,,5,,,20,,
Jay Kleberg,,7,,13.46%,,3,,2,,,2,,
Total Votes Cast,,52,,100.00%,,23,,7,,,22,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,,,,,,,,,,9,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1005,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,20,,37.74%,,12,,2,,,6,,
Peter Sakai,,33,,62.26%,,11,,5,,,17,,
Total Votes Cast,,53,,100.00%,,23,,7,,,23,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,20,,40.82%,,10,,2,,,8,,
Maria Teresa Garcia,,29,,59.18%,,13,,5,,,11,,
Total Votes Cast,,49,,100.00%,,23,,7,,,19,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,0,,0,,,4,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,28,,54.90%,,14,,4,,,10,,
"Christine ""Chris"" Castillo",,23,,45.10%,,9,,3,,,11,,
Total Votes Cast,,51,,100.00%,,23,,7,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,0,,,2,,
,,,,,,,,,,10,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1006,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,156",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,175,,100,,32,,43,,,,,
Ballots Cast - Democratic Party,,151,,82,,32,,37,,,,,
Ballots Cast - Blank,,1,,0,,0,,1,,,,,
Voter Turnout - Total,,8.12%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,94,,65.28%,,61,,16,,,17,,
Mike Collier,,50,,34.72%,,17,,16,,,17,,
Total Votes Cast,,144,,100.00%,,78,,32,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,4,,0,,,3,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,116,,80.56%,,72,,16,,,28,,
Joe Jaworski,,28,,19.44%,,7,,15,,,6,,
Total Votes Cast,,144,,100.00%,,79,,31,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,1,,,3,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,103,,71.03%,,61,,20,,,22,,
Janet T. Dudding,,42,,28.97%,,18,,12,,,12,,
Total Votes Cast,,145,,100.00%,,79,,32,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,0,,,3,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,116,,81.69%,,69,,20,,,27,,
Jay Kleberg,,26,,18.31%,,10,,11,,,5,,
Total Votes Cast,,142,,100.00%,,79,,31,,,32,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,3,,1,,,5,,
,,,,,,,,,,11,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1006,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,59,,39.33%,,37,,7,,,15,,
Peter Sakai,,91,,60.67%,,45,,25,,,21,,
Total Votes Cast,,150,,100.00%,,82,,32,,,36,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,76,,53.15%,,39,,17,,,20,,
Maria Teresa Garcia,,67,,46.85%,,41,,13,,,13,,
Total Votes Cast,,143,,100.00%,,80,,30,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,2,,2,,,4,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,73,,49.66%,,39,,16,,,18,,
"Christine ""Chris"" Castillo",,74,,50.34%,,41,,16,,,17,,
Total Votes Cast,,147,,100.00%,,80,,32,,,35,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,0,,,2,,
,,,,,,,,,,12,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1007,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,270",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,126,,66,,24,,36,,,,,
Ballots Cast - Democratic Party,,104,,55,,23,,26,,,,,
Ballots Cast - Blank,,1,,1,,0,,0,,,,,
Voter Turnout - Total,,9.92%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,58,,63.04%,,29,,14,,,15,,
Mike Collier,,34,,36.96%,,16,,7,,,11,,
Total Votes Cast,,92,,100.00%,,45,,21,,,26,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,12,,,,10,,2,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,78,,82.98%,,43,,16,,,19,,
Joe Jaworski,,16,,17.02%,,4,,5,,,7,,
Total Votes Cast,,94,,100.00%,,47,,21,,,26,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,8,,2,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,75,,78.12%,,38,,17,,,20,,
Janet T. Dudding,,21,,21.88%,,12,,3,,,6,,
Total Votes Cast,,96,,100.00%,,50,,20,,,26,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,5,,3,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,73,,76.84%,,38,,14,,,21,,
Jay Kleberg,,22,,23.16%,,11,,6,,,5,,
Total Votes Cast,,95,,100.00%,,49,,20,,,26,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,6,,3,,,0,,
,,,,,,,,,,13,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1007,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,31,,30.10%,,19,,6,,,6,,
Peter Sakai,,72,,69.90%,,35,,17,,,20,,
Total Votes Cast,,103,,100.00%,,54,,23,,,26,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,55,,57.29%,,29,,13,,,13,,
Maria Teresa Garcia,,41,,42.71%,,21,,8,,,12,,
Total Votes Cast,,96,,100.00%,,50,,21,,,25,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,5,,2,,,1,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,49,,50.00%,,29,,7,,,13,,
"Christine ""Chris"" Castillo",,49,,50.00%,,22,,14,,,13,,
Total Votes Cast,,98,,100.00%,,51,,21,,,26,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,4,,2,,,0,,
,,,,,,,,,,14,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
