,,,,,#FormatVersion 1,,,,,
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,Lieutenant Governor,Mike Collier,10,1
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,Attorney General,Joe Jaworski,6,5
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,Attorney General,Rochelle Mercedes Garza,9,0
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,Comptroller of Public Accounts,Janet T. Dudding,13,5
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,Comptroller of Public Accounts,Angel Luis Vega,2,0
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,Commissioner of the General Land Office,Jay Kleberg,10,5
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,Commissioner of the General Land Office,Sandragrace Martinez,5,0
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,"Member, State Board of Education, District No. 1",Laura Marquez,3,2
Bandera County,24-May-22,Democratic Primary,0,0,306,1493,"Member, State Board of Education, District No. 1",Melissa N Ortega,12,2
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,"United States Representative, District No. 21",Claudia Andreana Zapata,27,9
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,"United States Representative, District No. 21",Ricardo Villarreal,4,7
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,Lieutenant Governor,Michelle Beckley,22,9
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,Lieutenant Governor,Mike Collier,10,7
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,Attorney General,Joe Jaworski,9,2
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,Attorney General,Rochelle Mercedes Garza,23,14
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,Comptroller of Public Accounts,Janet T. Dudding,25,12
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,Comptroller of Public Accounts,Angel Luis Vega,7,3
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,Commissioner of the General Land Office,Jay Kleberg,17,7
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,Commissioner of the General Land Office,Sandragrace Martinez,15,8
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,"Member, State Board of Education, District No. 1",Laura Marquez,15,6
Bandera County,24-May-22,Democratic Primary,0,0,407,2547,"Member, State Board of Education, District No. 1",Melissa N Ortega,16,9
Bandera County,24-May-22,Democratic Primary,0,0,408,274,"United States Representative, District No. 21",Claudia Andreana Zapata,6,1
Bandera County,24-May-22,Democratic Primary,0,0,408,274,"United States Representative, District No. 21",Ricardo Villarreal,8,0
Bandera County,24-May-22,Democratic Primary,0,0,408,274,Lieutenant Governor,Michelle Beckley,3,1
Bandera County,24-May-22,Democratic Primary,0,0,408,274,Lieutenant Governor,Mike Collier,11,0
Bandera County,24-May-22,Democratic Primary,0,0,408,274,Attorney General,Joe Jaworski,7,0
Bandera County,24-May-22,Democratic Primary,0,0,408,274,Attorney General,Rochelle Mercedes Garza,7,1
Bandera County,24-May-22,Democratic Primary,0,0,408,274,Comptroller of Public Accounts,Janet T. Dudding,12,1
Bandera County,24-May-22,Democratic Primary,0,0,408,274,Comptroller of Public Accounts,Angel Luis Vega,2,0
Bandera County,24-May-22,Democratic Primary,0,0,408,274,Commissioner of the General Land Office,Jay Kleberg,12,1
Bandera County,24-May-22,Democratic Primary,0,0,408,274,Commissioner of the General Land Office,Sandragrace Martinez,2,0
Bandera County,24-May-22,Democratic Primary,0,0,408,274,"Member, State Board of Education, District No. 1",Laura Marquez,2,0
Bandera County,24-May-22,Democratic Primary,0,0,408,274,"Member, State Board of Education, District No. 1",Melissa N Ortega,12,1
Bandera County,24-May-22,Democratic Primary,0,0,409,978,"United States Representative, District No. 21",Claudia Andreana Zapata,6,5
Bandera County,24-May-22,Democratic Primary,0,0,409,978,"United States Representative, District No. 21",Ricardo Villarreal,2,0
Bandera County,24-May-22,Democratic Primary,0,0,409,978,Lieutenant Governor,Michelle Beckley,6,2
Bandera County,24-May-22,Democratic Primary,0,0,409,978,Lieutenant Governor,Mike Collier,2,3
Bandera County,24-May-22,Democratic Primary,0,0,409,978,Attorney General,Joe Jaworski,2,0
Bandera County,24-May-22,Democratic Primary,0,0,409,978,Attorney General,Rochelle Mercedes Garza,6,5
Bandera County,24-May-22,Democratic Primary,0,0,409,978,Comptroller of Public Accounts,Janet T. Dudding,7,5
Bandera County,24-May-22,Democratic Primary,0,0,409,978,Comptroller of Public Accounts,Angel Luis Vega,1,0
Bandera County,24-May-22,Democratic Primary,0,0,409,978,Commissioner of the General Land Office,Jay Kleberg,4,3
Bandera County,24-May-22,Democratic Primary,0,0,409,978,Commissioner of the General Land Office,Sandragrace Martinez,4,2
Bandera County,24-May-22,Democratic Primary,0,0,409,978,"Member, State Board of Education, District No. 1",Laura Marquez,3,5
Bandera County,24-May-22,Democratic Primary,0,0,409,978,"Member, State Board of Education, District No. 1",Melissa N Ortega,5,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,"United States Representative, District No. 21",Claudia Andreana Zapata,3,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,"United States Representative, District No. 21",Ricardo Villarreal,2,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,Lieutenant Governor,Michelle Beckley,2,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,Lieutenant Governor,Mike Collier,3,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,Attorney General,Joe Jaworski,3,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,Attorney General,Rochelle Mercedes Garza,1,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,Comptroller of Public Accounts,Janet T. Dudding,5,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,Comptroller of Public Accounts,Angel Luis Vega,0,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,Commissioner of the General Land Office,Jay Kleberg,5,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,Commissioner of the General Land Office,Sandragrace Martinez,0,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,"Member, State Board of Education, District No. 1",Laura Marquez,3,0
Bandera County,24-May-22,Democratic Primary,0,0,410,533,"Member, State Board of Education, District No. 1",Melissa N Ortega,2,0
