00000000022000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002200000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
001900200060001456000011600008270000513000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEMCOM002 County Commissioner. Pct. 2                             DEM Rashad Q. Mims I                  Precinct 2               01 
002000100060001740000003500009710000734000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REPJOP002 Justice of the Peace, Pct. 2                            REP Tammy Lightfoot                   Precinct 2               01 
002000200060000989000010800005770000304000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEMJOP002 Justice of the Peace, Pct. 2                            DEM Karen D. Taylor                   Precinct 2               01 
002100100050003102000003900019110001152000000000000000000000000000000000000000000000000000000000000000000000000000000005005005 REPJOP004 Justice of the Peace, Pct. 4                            REP James W. Westley                  Precinct 4               01 
002100200050000543000002100003480000174000000000000000000000000000000000000000000000000000000000000000000000000000000005005005 DEMJOP004 Justice of the Peace, Pct. 4                            DEM Kathleen Caston                   Precinct 4               01 
002200100030000228000000100001820000045000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 NONCITPALSMember City Council, Dist. 6 City of Palestine          Langdon Elliott                       City of Palestine        01 
002200200030000196000000200001120000082000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 NONCITPALSMember City Council, Dist. 6 City of Palestine          Christopher Gibbs                     City of Palestine        01 
002200300030000192000000900001200000063000000000000000000000000000000000000000000000000000000000000000000000000000000003003003 NONCITPALSMember City Council, Dist. 6 City of Palestine          Mary Cox                              City of Palestine        01 
002300100040000642000000400003060000332000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDCISDTrustee, Position Two Cayuga ISD                        David Link                            Cayuga ISD               01 
002300200040000289000000800001270000154000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDCISDTrustee, Position Two Cayuga ISD                        Larry Fox                             Cayuga ISD               01 
002400100040000590000001000002710000309000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDCISDTrustee, Position Three Cayuga ISD                      Clint Satterwhite                     Cayuga ISD               01 
002400200040000352000000300001640000185000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDCISDTrustee, Position Three Cayuga ISD                      Josh Hinshaw                          Cayuga ISD               01 
002500100040000638000000600002940000338000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDCISDTrustee, Position Four Cayuga ISD                       Tim West                              Cayuga ISD               01 
002500200040000339000000900001600000170000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDCISDTrustee, Position Four Cayuga ISD                       Mary Costlow Walker                   Cayuga ISD               01 
002600100040000878000001000004070000461000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDCISDTrustee, Position Five Cayuga ISD                       Daniel Sims                           Cayuga ISD               01 
002700100020000190000000400000710000115000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NONISDLISDPlace 1 Trustee LaPoyner ISD                            Bryan Forester                        LaPoyner ISD             01 
002700200020000046000000100000160000029000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NONISDLISDPlace 1 Trustee LaPoyner ISD                            Rebekah Church                        LaPoyner ISD             01 
002800100020000124000000100000390000084000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NONISDLISDPlace 2 Trustee LaPoyner ISD                            Ronny Crawford                        LaPoyner ISD             01 
002800200020000105000000400000420000059000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NONISDLISDPlace 2 Trustee LaPoyner ISD                            John Kinabrew                         LaPoyner ISD             01 
002900100020000071000000300000270000041000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NONISDLISDPlace 4 Trustee LaPoyner ISD                            Mander Clark                          LaPoyner ISD             01 
002900200020000151000000300000520000096000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NONISDLISDPlace 4 Trustee LaPoyner ISD                            Jacob Haynes                          LaPoyner ISD             01 
003000100020000115000000200000430000070000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NONISDLISDPlace 5 Trustee LaPoyner ISD                            Joe Ed Young                          LaPoyner ISD             01 
003000200020000103000000300000370000063000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NONISDLISDPlace 5 Trustee LaPoyner ISD                            Brandon Burnett                       LaPoyner ISD             01 
003100100040000455000000500002380000212000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDNISDTrustee, Place 1 Neches ISD                             Amanda Kincade                        Neches ISD               01 
003200100040000456000000400002370000215000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDNISDTrustee, Place 2 Neches ISD                             Jonathan Gordon                       Neches ISD               01 
003300100040000280000000100001300000149000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDNISDTrustee, Place 3 Neches ISD                             Tommy Stewart                         Neches ISD               01 
003300200040000274000000500001530000116000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NONISDNISDTrustee, Place 3 Neches ISD                             Kaitlin Scroggins                     Neches ISD               01 
003400100050000562000000900002630000290000000000000000000000000000000000000000000000000000000000000000000000000000000005005005 NONISDSISDTrustee Place 3 Slocum ISD                              Ben Missildine                        Slocum ISD               01 
003400200050000214000000700001170000090000000000000000000000000000000000000000000000000000000000000000000000000000000005005005 NONISDSISDTrustee Place 3 Slocum ISD                              Karen Abernathy                       Slocum ISD               01 
003500100050000701000001100003420000348000000000000000000000000000000000000000000000000000000000000000000000000000000005005005 NONISDSISDTrustee Place 4 Slocum ISD                              Roger Jones                           Slocum ISD               01 
003600100050000444000000900002190000216000000000000000000000000000000000000000000000000000000000000000000000000000000005005005 NONISDSISDTrustee Place 5 Slocum ISD                              Daniel Bailey                         Slocum ISD               01 
003600200050000310000000600001450000159000000000000000000000000000000000000000000000000000000000000000000000000000000005005005 NONISDSISDTrustee Place 5 Slocum ISD                              Steve Mock                            Slocum ISD               01 
