COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"US Representative, Dist 19","US Representative, Dist 19","US Representative, Dist 19","US Representative, Dist 19",Governor,Governor,Governor,Governor,Governor,Governor,Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6",Plains ISD Voter-Approval Tax Rate Election Plains,Plains ISD Voter-Approval Tax Rate Election Plains,Plains ISD Voter-Approval Tax Rate Election Plains,Plains ISD Voter-Approval Tax Rate Election Plains,Denver City ISD Voter-Approval Tax Rate Election Denver City,Denver City ISD Voter-Approval Tax Rate Election Denver City,Denver City ISD Voter-Approval Tax Rate Election Denver City,Denver City ISD Voter-Approval Tax Rate Election Denver City,
YOAKU,0003,303,540,114,0,102,10,0,2,103,9,1,1,0,0,0,98,15,1,0,0,98,12,1,0,3,97,10,6,0,1,97,12,4,0,0,1,100,12,0,2,97,7,7,2,0,1,97,11,5,0,1,99,11,0,4,101,11,0,2,100,11,0,3,99,11,0,4,75,35,0,4,0,0,0,0,
YOAKU,0004,305,431,5,0,3,1,0,1,4,1,0,0,0,0,0,4,1,0,0,0,4,1,0,0,0,4,1,0,0,0,4,1,0,0,0,0,4,1,0,0,4,1,0,0,0,0,4,1,0,0,0,4,1,0,0,4,1,0,0,4,1,0,0,4,1,0,0,0,0,0,0,1,3,0,1,
YOAKU,0004,305,431,67,0,52,9,0,6,51,15,0,1,0,0,0,49,15,1,0,2,52,13,0,0,2,48,14,2,0,3,49,14,0,0,0,4,49,15,0,3,48,14,1,0,0,4,49,15,0,0,3,50,14,0,3,48,16,0,3,47,17,0,3,48,16,0,3,0,0,0,0,35,27,0,5,
YOAKU,0004,305,431,58,0,47,6,0,5,40,18,0,0,0,0,0,41,14,2,0,1,43,15,0,0,0,41,14,2,0,1,43,15,0,0,0,0,40,16,0,2,41,12,2,1,0,2,42,14,1,0,1,42,15,0,1,42,15,0,1,42,16,0,0,41,15,0,2,0,0,0,0,29,26,0,3,
YOAKU,0005,404,500,5,0,2,3,0,0,1,4,0,0,0,0,0,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,1,4,0,0,0,0,1,4,0,0,1,4,0,0,0,0,1,4,0,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,2,2,0,0,0,0,0,0,
YOAKU,0005,404,500,156,0,147,4,0,5,145,10,1,0,0,0,0,134,11,6,0,5,145,8,1,0,2,143,5,0,0,8,140,9,0,0,0,7,142,10,0,4,142,5,1,1,0,7,144,5,0,0,7,144,6,0,6,145,4,0,7,144,6,0,6,144,5,0,7,108,45,0,3,0,0,0,0,
YOAKU,0005,404,500,102,0,89,11,0,2,92,8,1,1,0,0,0,84,13,4,0,1,83,15,3,0,1,87,10,3,0,2,88,9,2,0,0,3,88,14,0,0,88,8,3,1,0,2,86,12,0,0,4,85,13,0,4,83,14,0,5,85,13,0,4,85,13,0,4,74,23,0,3,0,0,0,0,
YOAKU,0006,406,567,4,0,2,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,
YOAKU,0006,406,567,93,0,73,16,0,4,64,25,3,1,0,0,0,60,28,4,0,1,65,24,2,0,2,65,21,4,0,3,66,21,4,0,0,2,67,22,0,4,67,17,4,1,0,4,63,23,4,0,3,65,25,0,3,64,26,0,3,66,22,0,5,66,23,0,4,0,0,0,0,55,36,0,2,
YOAKU,0006,406,567,61,0,45,13,0,3,42,17,1,0,0,0,1,41,15,2,0,3,43,13,3,0,2,47,8,2,0,4,43,14,0,0,0,4,46,12,0,3,41,11,3,0,0,6,42,14,1,0,4,44,12,0,5,40,17,0,4,44,12,0,5,42,13,0,6,0,0,0,0,30,29,0,2,
YOAKU,ZZZ,COUNTY TOTALS,4284,1640,0,1447,137,0,56,1427,190,13,6,1,0,3,1375,196,43,0,26,1394,190,30,0,26,1392,158,39,0,51,1395,177,18,0,0,50,1412,187,0,41,1389,150,42,10,0,49,1383,173,31,0,53,1399,183,0,58,1385,200,0,55,1400,186,0,54,1395,184,0,61,344,149,0,18,683,416,0,24,
